"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"KMT2E",1.41865325488539,1.75804403191605,1.448468847861,1.6533390569408,1.32072030342187,0.993972383103929
"RHBDD2",0.41176519865743,0.470856213436694,0.431813807501786,0.520236328331351,0.299757800273948,0.286265998273282
"SOX8",0.0166313507858974,0.00941155745637461,0.0205999776877385,0.0191828326175087,0.0102557389689945,0
"IBTK",0.175234238835091,0.281273951760898,0.167292053981878,0.179247736930847,0.137301052706394,0.0353514804496421
"ZNF195",0.166355566516144,0.245796364036191,0.135369170981011,0.130776578222799,0.0750888708225578,0.0366840620298643
"MYCBP2",0.621707458517422,0.561174204358381,0.619840356470763,0.428191469426741,0.483984325070791,0.553671516813673
"FBXL3",0.322713607053923,0.330697238223703,0.507545922399461,0.382630609629447,0.246805800625492,0.441050935435939
"ITGAL",0.397771745804892,0.66191349641098,0.731288667061161,0.968796813000015,0.305848883129553,0.688856814358686
"PDK2",0.0657672730762677,0.103114573042632,0.137488546078352,0.114309386203164,0.0671163648779703,0.0731785812893429
"ITGA3",0.0446451621083273,0.0946422544996978,0.0247744852635099,0.00876693418848584,0.0345687727518689,0.0392065993300429
"ZFX",0.258400815079706,0.255327997376041,0.220160094193969,0.221511125564575,0.259643627335821,0.172546388866665
"LAMP2",0.193892893350793,0.174127196733836,0.220289241713562,0.210578944250854,0.156242017930895,0.0630634217648893
"ITGA2B",0.000341131735585875,0,0.00237798390538617,0,0,0
"GDE1",0.164690357227621,0.232201838138821,0.176896867902204,0.2197901393935,0.10912384154724,0
"C19orf60",0.874987186730715,0.989902860391539,1.03091338746015,1.10946997215873,0.588415445053016,0.729073640462515
"CRLF1",0.000810511165246281,0.00688163897361897,0.00109150502635264,0.0105837332574945,0,0
"OSBPL7",0.025335290762857,0.025768615499305,0.0588568233121103,0.158160700435527,0.0334647626427732,0.0371239679353731
"TMEM98",0.000743126413808339,0,0.00048875887354632,0,0,0
"MAP3K14",0.213964759525294,0.217974022640172,0.109096328500865,0.135434672846432,0.165942283218257,0.206162270124968
"TMEM132A",0,0,0.000428223038005686,0,0,0
"AP2B1",0.600947570408797,0.718675113965144,0.436635211740119,0.655823745922736,0.520902269104511,0.190876928535668
"TAC1",0.0003888972204474,0,0,0,0,0
"ZNF263",0.177239379638399,0.259549873247466,0.159321247083673,0.0722192985969677,0.122445793363196,0.0969483659074113
"CX3CL1",0.00214542347642393,0,0.00138031492705109,0,0,0
"SPATA20",0.0528355860214399,0.0395919962000226,0.058701751936322,0.0385143498928226,0,0.0337379386833122
"TNFRSF12A",0.100801920752461,0.338203883968764,0.113009960075905,0.161753090501529,0.0215061417577009,0.0324672170587488
"MAP3K9",0.0157176535180274,0.0185186769882543,0.0269472020319377,0.0117078329387464,0.010618149738893,0.0394134521484375
"RALA",0.617301879857795,0.62962614337751,0.490477849554265,0.33274689752456,0.46630341194343,0.285142602147283
"BAIAP2L1",0.0231684517814297,0.0109479343137777,0.00942427658069616,0.00781599192591438,0.0207264819633928,0.0293739056802011
"KDM7A",0.138482281214033,0.112957595449398,0.105021637454741,0.180181048766911,0.116167769867958,0.100032033147039
"ETV1",0.00042909568236921,0,0,0,0,0
"AGK",0.123918403480454,0.116270943423629,0.0713736587736024,0.130482747540836,0.0410008668239097,0.0316296461466196
"ALDH3B1",0.00254012658702105,0,0.00381729359748303,0,0,0
"TTC22",0.0370797331028796,0.0525337435499,0.0297101698536565,0.0633763541952211,0.0338538650660634,0
"PHTF2",0.0993321454098423,0.092291353803585,0.136834758832894,0.143685382012038,0.0739219314173648,0.105080110532743
"FARP2",0.0327147819404445,0.041608564472553,0.0243511477689157,0.0200898849476151,0.0113836510359746,0
"GGCT",0.552249475953312,0.533981945878068,0.268618651415812,0.198044396283334,0.2872717823018,0.275044312348237
"DBF4",0.243893196622569,0.323245278964699,0.214651707409025,0.22856212638275,0.129241905714336,0.212535692764832
"TBXA2R",0.0024493244157769,0,0.0105145615616302,0,0,0.0309167939263421
"IFRD1",0.49333396307562,0.55290158109594,0.312822216454296,0.28954789791888,0.33045503703511,0.192262971723402
"LGALS14",0.0501943353988677,0.0138784385525161,0.00800219465052706,0,0.0207357089605358,0
"COX10",0.104843142804486,0.119758854789805,0.0518717767595351,0.0520698194615325,0.0232262717059445,0
"GTF2IRD1",0.00479555568104786,0,0.0337860331185039,0.0101715786415234,0,0
"PAF1",0.180033911372638,0.195641132092387,0.208416074755667,0.222389498649285,0.101532134983348,0.165123933070415
"VPS41",0.0934749376641251,0.0870599759998818,0.0902730555012487,0.14933659249579,0.0424615062174705,0.0351394575995368
"ARHGAP44",0.0201975100275626,0.0267671014296521,0.0204783181915398,0.0241584080701683,0,0
"ELAC2",0.172034358883158,0.211931761755819,0.157915014555787,0.160054109947026,0.0703719197217778,0.10065627742458
"SCIN",0.00323347804970621,0.00601052484547782,0.00144752526747948,0,0,0
"ARSD",0.0135333241473314,0.0423387368815539,0.0155839288788757,0.00959637151126973,0.0217229210438821,0
"PNPLA4",0.0560031273840013,0.0496990946588906,0.0566688218395571,0.022921351661459,0.0181029774145406,0.0760280548989236
"ADIPOR2",0.162995356266572,0.218890474409862,0.0981008673357642,0.0880298698157595,0.0988681085221985,0.135883745846448
"CDKL3",0.0111283995859628,0.0209132087274998,0.00951534472126653,0.0305879248513116,0.0114098982137326,0
"UPP2",0.00129961192146722,0,0.000541407843937223,0,0,0
"PRSS21",0.0722121278858047,0.179211339986014,0.0226496200690205,0.0510328596795512,0.0224773441325264,0.0331516716931317
