"","amacrine.cell","microglial.cell","Muller.cell","retinal.bipolar.neuron.type.A","retinal.bipolar.neuron.type.B","retinal.bipolar.neuron.type.C","retinal.bipolar.neuron.type.D","retinal.cone.cell","retinal.ganglion.cell","retinal.rod.cell.type.A","retinal.rod.cell.type.B","retinal.rod.cell.type.C"
"MLH3",1.184030013,0.141399733,0.56680262,0.454441938,0.793891484,1.027957801,0.735639482,0.557494317,0.106526814,0.407226508,0.581530072,0.545043547
"TTLL5",0.28875903,0.171351257,0.183301907,0.134972928,0.204089786,0.152738846,0.155040535,0.693435982,0.04722319,0.382299807,0.597727124,0.590266512
"FLVCR2",0,0.065575912,0.012207277,0,0,0,0,0.004240459,0,0,0.000506227,0
"ABCD4",0.585750688,0.193139608,0.546973244,0.520747249,0.39205642,0.340406442,0.243177968,0.435418045,0.040399479,0.213428564,0.259489594,0.271720354
"DLST",0.308801204,0.197262113,0.229423188,0.386502438,0.271794042,0.341456575,0.415672086,0.281629207,0.211766864,0.251122885,0.230164546,0.350727876
"PPP4R4",0.153491761,0.05682532,0.066029606,0,0.010486614,0.023310789,0,0.853912906,0,0.003854386,0.004442013,0.021956108
"TGFB3",0.042095351,0,0.03385904,0,0.00489278,0,0,0.024416332,0,0.015492469,0.021038103,0
"ZC2HC1C",0.089356668,0.022886199,0.11071075,0.083293277,0.112904734,0.07367168,0.073601448,0.100762979,0,0.092512928,0.09940448,0.149055903
"SLIRP",2.105013703,1.359722213,1.794693308,2.726758251,2.073200019,2.366519528,2.065535985,3.526744279,2.993118945,3.060236703,1.768362732,1.667646772
"RBM25",2.148737106,1.248914865,1.691001392,2.110376434,1.620236341,1.904606114,1.794718068,1.995133024,0.283230543,1.322654551,1.857424572,1.979099894
"ALDH6A1",0.632474333,0.15076213,1.131385137,0.341974344,0.30688461,0.29380689,0.314251928,0.234845445,0.210370423,0.188942674,0.182591031,0.136872738
"GPR68",0.030058148,0,0,0.008497047,0.005600909,0.007450458,0,0,0,0,0,0
"ESRRB",0.176629772,0.059050662,0.123070412,0.071385581,0.078015012,0.067840812,0.016181211,0.040860399,0,0.52971565,0.524725542,0.475775316
"EIF2B2",0.329525067,0.109081152,0.36024789,0.447912575,0.341741683,0.333030357,0.334266083,0.391408166,0,0.249885941,0.238142393,0.228305621
"NRDE2",0.604927506,0.199184005,0.497616991,0.649439107,0.628861466,0.560207272,0.599925135,0.538472045,0.13685617,0.483559191,0.622705227,0.52206355
"COQ6",0.193904744,0.150005075,0.148940133,0.171007377,0.177444697,0.223177641,0.280129244,0.231483253,0,0.15415902,0.177550091,0.141240272
"ZNF410",0.0741801,0.020677575,0.050123533,0.037456313,0.04807186,0.047815845,0,0.050017645,0,0.022883649,0.037545457,0
"RHOQ",0.414346137,0.18948038,0.193091395,0.183439897,0.121146595,0.118460024,0.184598554,0.133772357,0.15090405,0.098898354,0.093710389,0.020614854
"GPR75",0.012049754,0,0.011097377,0,0.00597549,0.009622757,0,0.004371219,0,0.005175789,0.006395783,0.02354373
"SUPT7L",0.520514054,0.245723498,0.363461346,0.627972391,0.384732672,0.360716985,0.326267542,0.417499905,0.224849152,0.255900824,0.324246026,0.36684523
"KLHL29",0.080772626,0,0.027314061,0.008712351,0.005741557,0.007589419,0,0.083197965,0,0.065536927,0.08436398,0.161520358
