"","cortical.interneuron","MGE.neuron","MGE.progenitor","telencephalic.progenitors"
"EFHD1",0.00306564850627251,0.00594366227204983,0.128665340217677,0.760278178112847
"KCNJ13",0,0.017518849327014,0.233620361848311,0.245785815375192
"CCT4",2.44325778759875,2.25470691919327,2.12706009366296,3.4892190183912
"GGCX",0.492495474739457,0.470209888540781,0.540359418500553,0.444725339966161
"EHBP1",1.18159059055571,1.50023028827631,0.683912307024002,1.04809770094497
"OTX1",0.00292505323886871,0,0.584146559238434,0.505543286246913
"TXNDC9",1.20420714031975,0.822413183175601,0.863850745287808,1.38372059805053
"COQ10B",0.960163553649524,0.817575052953683,1.0242088531906,0.363122936870371
"GNLY",0.0105194381947787,0,0,0
"SF3B1",3.13484285068962,3.74284733717258,3.56387723575939,4.00840462105615
"ST3GAL5",0.250172178137977,0.123155686717767,0.154578108679165,0.0933807141014508
"CHST10",0.119307671796601,0.24134502445276,0.335013411261819,0.112581657511847
"PDCL3",0.426519069750354,0.813548610760615,1.41617238250646,1.33683833054134
"MOB4",2.37690414375854,2.36213792860508,1.82377610152418,2.33811564956393
"HSPE1",2.28848075641776,2.1875313107784,3.191087029197,2.93116620608739
"KDM3A",1.09842494355058,1.17578191023607,1.36718771674416,1.25374024680683
"PLCD4",0.0723318873711352,0.0917578752224262,0,0
"CHMP3",0.743501436316742,1.60106019045298,2.20577771284363,1.67981134035758
"ZNF142",0.231913870797967,0.320067448111681,0.441808960654519,0.615408539772034
"IL1R1",0.0181165393793358,0.0130747040876975,0,0
"IL1RL1",0,0,0,0.0120608412793704
"SLC9A2",0.0394649618076828,0.0385506657453684,0,0
"FHL2",0.361019490743583,0.125603276949662,0.223988211967728,0.13182154830013
"MLPH",0.00799328847876135,0,0,0.0110954248479434
"CNPPD1",0.674265548867999,0.710721291028536,0.987172663211823,0.830027273723057
"UXS1",0.413214398723728,1.0418553856703,0.746076004071669,1.10428466115679
"ABCB6",0.580459223040995,0.628829459731395,0.550668131221424,0.866453221866063
"STK16",0.195347986131344,0.132754908158229,0,0
"HDLBP",1.28614727393636,1.6475225687027,2.73567821762779,2.68329503067902
"PPP1R7",1.12411410797317,0.948722316668584,0.51748601956801,1.1183394576822
"PASK",0.248344148948507,0.422822125829183,0.0305181037295948,0.277080333658627
"STK25",1.26990269827393,1.24265594150011,0.812974014065482,0.957665892583983
"TPO",0.00341790802073929,0,0,0
"PROC",0,0.00875705595199878,0,0
"ID2",1.73182386328589,0.738879643953763,0.914821748029102,0.700794232743127
"TAF1B",0.340467934338552,0.246754571795464,0.396982621062886,0.659443816968373
"HPCAL1",0.824090741715341,0.742094192367334,1.04278862747279,0.613974916083472
"ODC1",1.58406108055475,1.28709469506374,2.29000606861981,1.70742590512548
"BIRC6",1.51167019217644,1.44480072878874,1.44066241519018,1.12533835534539
"NOL10",0.492199962150376,0.204382781799023,0.552230271426114,0.433395966887474
"PLEKHB2",2.59812980117101,2.14113937261013,1.87009089914235,1.61696217954159
"GORASP2",1.6405103802681,1.79295386259372,1.80546591498635,2.17961648532322
"STRN",0.162454036046874,0.00875705595199878,0.0520832863720981,0.0705244328294482
"CEBPZ",1.28017360225039,1.06695307676609,1.45652705972845,2.1767560669354
"PRKD3",0.22878006831655,0.280278493005496,0.412316155704585,1.36564800249679
"DCAF17",0.501738796818931,0.355971353558394,0.25017933818427,0.446141635732991
"RAB3GAP1",0.345983233091966,1.04106537883098,1.19040300629356,0.818709697042193
"SLC25A12",0.73131843867167,0.693941230957325,0.203924525867809,0.508156401770456
"RMDN2",0.0699735823667274,0,0.014612460678274,0.225830554962158
"DLX2",2.41435120578082,3.13397082457176,0.169766209342263,0.434183631624494
"LCT",0.00616247192868647,0,0,0
"DARS",1.16382127437951,1.95666048159966,2.60069278559902,2.74096594750881
"SRSF7",2.79528043405065,2.96066580368922,2.9318602735346,3.51208588055202
"SDC1",0.108193301929618,0.162496218314538,0.955369607968764,1.12936949729919
"PLCL1",0.020789236392615,0,0,0
"SLC1A4",0.639748781638325,0.503099090777911,1.50642459229989,0.076484318290438
"SOS1",0.792896173753828,0.382971185904283,0.693261575969783,0
"KYNU",0.912196089917759,0.814340992615773,0.822830723090605,0.514142496245248
"AC087235.1",0,0.00875705595199878,0.0146980515935204,0
"WIPF1",0.0194580622439115,0.0291306812029618,0.172694488005205,0
"ORC2",0.494158146235178,0.515649290612111,0.282180615446784,0.877631877149854
"COX7A2L",2.09845696080406,2.81213482526632,1.53942828286778,3.03879929440362
"PNO1",0.549399908421175,0.241980520578531,0.759944340044802,0.672035123620714
"ORC4",2.67572455248743,2.85771903624901,2.48095871101726,2.25724739687783
"RND3",2.95875710726909,2.71128881665377,1.39331631768833,1.95080044439861
"ATF2",1.93743959406637,2.11817564872595,2.23177953199907,2.24632633583886
"THADA",0.269766149655828,0.256752081788503,0.496757071126591,0.594586165887969
"AAK1",1.62404941247319,1.45289499140703,0.574620561166243,1.09052375810487
"TRAK2",0.66466964331438,0.706790519448427,0.0415882982990958,0.0353243361626353
"C2orf42",0.285001202012008,0.122357386809129,0.287003094499761,0.714061004774911
"TIA1",2.55036529842413,3.02694323200446,2.36118858510798,3.04330306819507
"PCYOX1",1.23187128370101,1.9882403829923,0.919873287731951,1.25992064923048
"KISS1R",0.0214593500461218,0,0,0
"ARID3A",0.111661628450987,0.422273291418186,0.250381592999805,0.412917090313775
"SUMO1",3.33869902142939,3.44565153752382,3.27315070412376,3.2362436737333
"VAX2",0.0041919027297002,0,0.157561432231556,0
"ATP6V1B1",0,0.0979330723102276,0,0
"NFE2L2",0.176895651052583,0.201632958192092,1.20257747173309,1.32930104221616
"MSH6",1.2427439141386,1.88456327468157,2.72694964842363,2.22561183571815
"PLEKHA3",0.888523754927347,0.950053984729143,0.0714845589616082,0.197874508798122
"SPR",0,0.0563141245108384,0,0.650270998477936
"EPHA4",0.381278069232995,1.50943339787997,1.87824525616386,1.42597353351968
"PARD3B",0.0338118008847507,0.0627842728908245,1.12476625767621,0.770904191902706
"FARSB",1.93712268797856,1.20891527544994,1.84612853960557,1.77514167768615
"ALMS1",0.463048159513833,0.405939820867318,1.12110702557997,0.851881870201656
"BCL9",1.12211780868611,1.30117307259486,0.733132924545895,1.39108688064984
"DHCR24",0.895320510526873,1.73656391467039,3.12102683565833,2.37152259690421
"DNAJC16",0.643410983231832,0.713673505645532,0.316540070555427,0.593638845852443
"MARK1",0.910138657070556,1.04310850799084,0.702477461912415,0.548138872853347
"TNR",0.168170058502341,0.120407562989455,0,0
"MORN1",0.307539754318741,0.185894044545981,0.38542809269645,0.457370048122747
"GPX7",0.0560613848128409,0.11562716960907,0.283771005543795,0.75976060969489
"CACYBP",2.14854535488587,2.14663680127034,1.77704787254333,2.27863772745643
"SCP2",1.18421105253247,1.47261341718527,2.77380160851912,2.03250741958618
"TPSG1",0.00302166702612391,0,0,0.0002367985933753
"PAPPA2",0,0.0250230890053969,0,0
"RALGPS2",0.454011890404629,0.0900742503312918,1.08646301789717,0.230719799441951
"ANGPTL1",0,0,0,0.116998570305961
"CEP104",0.388359565498694,0.324143014848232,0.723657322200862,0.492091960140637
"FAM20B",0.41521787249817,0.0919186776647201,0.10347277332436,0.244871190616063
"TCEANC2",0.485587958176181,0.582241191886939,0.739882916212082,0.309789837471076
"TMEM59",2.71472713126327,3.27446996248685,2.53779112208973,2.24853449208396
"LRRC42",0.507925389510281,0.404890485107899,0.751275044950572,1.19798050182206
"WRAP73",0.42911525689206,0.510799341476881,0.238673470237038,0.455452254840306
"MRPL37",0.707869319983248,1.39124641624781,0.99607408859513,0.766758480242321
"ICMT",0.395449099956818,0.529418584819023,0.404708277095448,0.640832405005183
"RPL22",2.46378588957607,2.31078863143921,2.8811567696658,3.20792468956539
"CHD5",0.408647955588575,0.22942847930468,0,0
"QSOX1",0.419024602703328,0.519569364877848,0.0790435468608683,0.368114483143602
"STXBP3",0.432245151895397,0.450122154102876,1.16897071491588,0.985825063926833
"PHF13",0.167327426514536,0.121631649824289,0.450997959483754,0
"ERRFI1",1.11558052335145,0.399163081095769,0.501427199352871,0.1880909545081
"PARK7",3.14131110794139,2.52025308861182,3.00285335020585,3.19651383161545
"KIAA1324",0.253531618219502,0.762073932931973,0.578570854934779,0.229634247720242
"OPRD1",0.110489712571198,0.040483778485885,0.123006742108952,0.0130291623728616
"AMPD2",0.993445240382878,1.49096282399618,1.16598053412004,1.19588948892696
"SRSF4",1.988585213867,1.96575657908733,2.14223756167022,2.61781039834023
"MECR",0.351899454897305,0.24170887699494,0.384565010666847,0.469409631831305
"KCNC4",0.0712706730613169,0.19540576178294,0.138181706721132,0.601080429341112
"EDEM3",0.6864621130363,0.777803135605959,1.30350568619641,0.831403464078903
"WDR77",0.849455657994972,0.925893407601577,0.402120200070468,0.66253245302609
"ATP5F1",2.62164138623004,2.69458725475348,2.29946444251321,2.62848905473948
"RAP1A",0.610800523240611,0.536412415023033,0.754974405873906,0.495076447725296
"HDAC1",0.0947340524421548,0.8399578837248,1.33869302543727,1.8741189624582
"CAPZA1",2.53303315898158,2.96163085217659,2.70930977301164,3.24590974194663
"S100PBP",0.497397237720917,0.720641109232719,1.01714472337203,1.17421639497791
"RNF19B",0.102827923196667,0.291547782146014,0.0160700909116051,0.013929158449173
"SCAMP3",1.80630978323379,1.75745645910501,1.4917235835032,1.87842209850039
"TRIM62",0.320689318877346,0.0720794475995577,0,0.0136459193059376
"ASH1L",1.52892307149914,1.58152149388423,1.19339349053123,1.35105222463608
