"","Neuron.Type.2","Undefined","Glutamatergic.neuron","Neuron.Type.1","Oligodendrocytes","Astrocytes.Type.1","GABA.ergic.neurons","Oligodendrocyte.progenitor.cells","Microglia","Endothelial.cells","Astrocyte.Type.2","Neuron.Type.3"
"MRPL48",0.018272424,0.099519033,0.01677516,0.016728225,0.046035721,0.019435079,0.017174431,0.015578537,0.014448063,0.017903532,0.008179962,0.006250743
"MRPL52",0.023038619,0.425946473,0.032532435,0.029542147,0.045483721,0.049135754,0.035828962,0.044907976,0.042326138,0.107680392,0.042905597,0.047110114
"MRPS21",0.073213866,0.896310433,0.060583475,0.059506926,0.030399324,0.047112853,0.077339447,0.03472709,0.026017635,0.074400569,0.046008683,0.09109866
"MRPS25",0.119287761,0.103596708,0.122032097,0.087710888,0.056222236,0.121225757,0.11770532,0.054009197,0.029569745,0.02781585,0.163301253,0.046584846
"MRPS31",0.069962223,0.126695139,0.07087266,0.057515846,0.070384478,0.082727281,0.089830461,0.057083572,0.102051117,0.097029521,0.042745843,0.016468905
"MRPS34",0.024667647,0.455667206,0.026114141,0.023900122,0.028466694,0.026875656,0.034560738,0.047618376,0.004726854,0.035976744,0.045376207,0.033798568
"MRPS5",0.293304789,0.177416719,0.204499345,0.201291264,0.199584139,0.240323523,0.22907778,0.19907578,0.162711488,0.13799355,0.087320528,0.045733477
"MRVI1",0.003268688,0.005429603,0.003684653,0.002199929,0.005865616,0.33904588,0.009427157,0.001151424,0.011363916,0.024302435,0.013003672,0
"MSANTD4",0.042288896,0.040103581,0.044409069,0.043175388,0.047366307,0.07851573,0.044080059,0.06608338,0.027041381,0.029737628,0.055498174,0.032532191
"MSH3",0.122209237,0.093037532,0.100441826,0.08378224,0.063500633,0.085083089,0.104191804,0.072627632,0.118710246,0.053211913,0.041249841,0.049687011
"MSI2",0.052112002,0.022582653,0.060692105,0.039578714,0.053712325,0.340121478,0.128014729,0.095364319,0.041318006,0.119043258,0.430128838,0.059529033
"MSMO1",0.051996623,0.024115602,0.058615834,0.041377647,0.07223913,0.069555128,0.057971564,0.040425677,0.019050943,0.028444393,0.034186589,0.059354121
"MT1E",0.00104646,0,0.012225998,0.012892932,0.014470862,0.203128694,0.004096256,0.065371774,0.015785967,0.544608845,0.195824622,0.002508362
"MT1G",0,0.004852239,0,0.001539315,0.00198837,0.065543766,0,0.015475718,0.005319461,0.106257656,0.059618113,0.008911623
"MT1M",0.000306647,0,0.006763732,0.003859598,0.002904472,0.103793078,0.002271583,0.041997265,0.03226531,0.2579173,0.033687479,0
"MT1X",0.001552366,0.200958685,0.02046185,0.02738842,0.01097261,0.179418724,0.004192842,0.119593155,0.027697681,0.409072274,0.206745027,0.002948239
"MT2A",0.004243642,0.113403966,0.018976532,0.016148701,0.037156447,0.382135027,0.008493731,0.139772418,0.05725692,1.188268468,0.308806749,0.006156297
"MT3",0.070567586,0.022300699,0.13894391,0.156784856,0.163149877,0.740924521,0.050500812,0.459915748,0.108343571,0.166490468,0.286954307,0.156738867
"MTA1",0.036764683,0.088037523,0.051747026,0.050172581,0.052024719,0.061764245,0.038776034,0.056397574,0.0374514,0.027914562,0.120671475,0.018322874
"MTAP",0.010895246,0.052407031,0.00746372,0.00585768,0.02035856,0.016931858,0.007117067,0.056232788,0.02817253,0.024873833,0.021304066,0.006639173
"MTCH2",0.05517643,0.046468163,0.03350252,0.049695174,0.04628026,0.085067762,0.058749293,0.095673689,0.0329548,0.050826437,0.054817519,0.033244752
"MTDH",0.205350044,0.098629332,0.177088425,0.180574282,0.298540729,0.206843384,0.206646114,0.233862246,0.181711301,0.270810904,0.225096007,0.229471952
"MTIF3",0.070133456,0.100879189,0.076506096,0.076645272,0.063771199,0.074465273,0.062019962,0.059467237,0.093534444,0.112212694,0.025660767,0.050030365
"MTMR10",0.010911835,0.004750617,0.015880009,0.009792639,0.081454395,0.057292368,0.005578975,0.017064612,0.051505083,0.026139604,0.02961228,0.003524625
"MTMR3",0.066116211,0.014661703,0.136640154,0.087459628,0.03687708,0.120862542,0.082465534,0.0656663,0.05967603,0.029377676,0.116370806,0.025120883
"MTRNR2L1",0.040035261,0.005154793,0.052543962,0.053786218,0.063611598,0.092069296,0.093634922,0.073631379,0.105554892,0.191367158,0.179820937,0.563875918
"MTSS1",0.022720743,0.007112778,0.013429051,0.015310141,0.077817785,0.030848909,0.128316531,0.268760388,0.044731488,0.036366924,0.042216053,0.024461212
"MTUS1",0.014648196,0,0.027120189,0.058746933,0.405156329,0.152101899,0.090627317,0.051648439,0.114284116,0.45307777,0.18742343,0.019655642
"MXD4",0.063462452,0.025686588,0.029133842,0.047138719,0.040683266,0.116679926,0.089613537,0.060069333,0.071862794,0.124266851,0.073790096,0.02946304
"MXI1",0.087386688,0,0.04807107,0.052230488,0.231404031,0.201988084,0.100747293,0.142360604,0.051324241,0.114144287,0.110800696,0.0582446
"MYBPC1",0.012222248,0,0,0.001689233,0.000332352,0.094989431,0.00692503,0.002820016,0.002943904,0,0.009471545,0
"MYL6",0.076913497,0.582345307,0.08179973,0.072525149,0.076585297,0.069677109,0.100616319,0.090701957,0.064357983,0.4503987,0.274164613,0.053777598
"MYLK",0.027545905,0,0.009298273,0.004679683,0.082094759,0.088629088,0.006741629,0.002922359,0.017236751,0.077870597,0.012702957,0.012162663
"MYO10",0.006710126,0.01797005,0.024881536,0.016383185,0.121721957,0.319921174,0.010927363,0.131887324,0.015115393,0.183702317,0.226511053,0.015709442
"MYO15B",0.0041613,0.015704087,0.011543493,0.00525871,0.068990081,0.10223282,0.005374791,0.056977637,0.107480117,0.065242104,0.173120617,0.002087933
"MYO18A",0.013634035,0,0.028483777,0.014985085,0.071431159,0.046122696,0.013748454,0.02338215,0.022766289,0.028269567,0,0.010846982
"MYO1E",0.005418613,0.007649618,0.003636679,0.001520714,0.048317304,0.02613469,0.003292929,0,0.010910601,0.029153532,0.097770524,0.011361536
"MYO1F",0.003510177,0,0.006121747,0.007145951,0.007221318,0.017816399,0.000770726,0.003228444,0.264364682,0.01245172,0,0
"MYO6",0.367504288,0.015730038,0.334465753,0.233630813,0.501533172,0.417331462,0.27963348,0.230268489,0.098675547,0.249320093,0.139684559,0.014659135
"MYO9B",0.113572561,0.017591964,0.046198207,0.101968261,0.191840142,0.061583011,0.089545298,0.095475108,0.245561306,0.061548347,0.032462379,0.015033739
"MYOM1",0.005547036,0,0.002349801,0.002070141,0.008834936,0.053973364,0.003897858,0.011155335,0.005250534,0.030074473,0.021450467,0
"MYRF",0.005939962,0.018192879,0.024293186,0.016959655,0.373316955,0.040799782,0.007507049,0.051745811,0,0.014326517,0.008980558,0.023794559
"MYT1",0.005089761,0.007112778,0.009784606,0.013088707,0.004337919,0.002506901,0.023876608,0.19421234,0.004807352,0.007763021,0.003717218,0
"N4BP2L2",0.529051608,0.109766697,0.579964158,0.476994366,0.456906363,0.481876832,0.449401896,0.322424299,0.402568625,0.279207197,0.313051548,0.086254829
"NAA15",0.095588776,0.083838921,0.0891532,0.104268073,0.079545175,0.065450035,0.082054858,0.085979288,0.052677739,0.052941218,0.072177412,0.024100606
"NAA38",0.026743215,0.080693095,0.053126423,0.031378571,0.048008075,0.039191005,0.030192829,0.057957409,0.064127146,0.080924217,0.075440551,0.00613134
"NACA",0.080799929,1.077707235,0.057504679,0.078643127,0.062810743,0.073418055,0.081984899,0.082081508,0.080216712,0.166798702,0.080416716,0.068661977
"NACC2",0.003770125,0.005265838,0.007320111,0.004439843,0.043541667,0.097312524,0.046606623,0.07067406,0,0.057052067,0.135327578,0
"NADK2",0.030210451,0.018797766,0.037833375,0.015157783,0.016568667,0.103066506,0.022386449,0.023104138,0.027077397,0.024939038,0.144977062,0.029655051
"NADSYN1",0.029031298,0.021914691,0.039731265,0.031126995,0.06277154,0.041367415,0.036776049,0.037895686,0.058386382,0.020605373,0.012080189,0.002785747
"NAGK",0.074532761,0,0.06397034,0.050571748,0.065275819,0.062898013,0.079883513,0.056896259,0.163156272,0.0655523,0.043358303,0.032207441
"NAP1L4",0.095751056,0.166655569,0.088935279,0.080599152,0.104875276,0.093134852,0.124048126,0.136664269,0.121086482,0.135727255,0.159962766,0.138571563
"NAPEPLD",0.133309519,0,0.046177051,0.045212478,0.128677307,0.086537795,0.070534049,0.102030441,0.029526948,0.023322753,0.049415487,0.0890057
"NASP",0.196724534,0.113353818,0.115128606,0.107125656,0.395378719,0.291476097,0.154844012,0.221218182,0.148212327,0.188769177,0.130523378,0.02557226
"NAV1",0.098892952,0.022011759,0.174832548,0.110615408,0.212932882,0.184098198,0.167282607,0.522864791,0.092042807,0.073700247,0.013991661,0.036862765
"NAV2",0.124532535,0.007426554,0.065729688,0.047481728,0.019064062,0.225603692,0.118429824,0.045691815,0.031699351,0.064927548,0.167978564,0.002383498
"NAV3",0.147932344,0.006514096,0.173110408,0.108858591,0.085233752,0.112314299,0.106208902,0.052356471,0.336949308,0.026774684,0.016333931,0.044659097
"NBEAL1",0.067534351,0.965424226,0.072268442,0.063989855,0.062835112,0.113219543,0.063661521,0.06309764,0.036985726,0.134810301,0.055240102,0.006987821
"NBPF1",0.148410302,0.057302494,0.134245267,0.227488577,0.157780616,0.495030232,0.204911461,0.232497195,0.174673991,0.128524418,0.110701337,0.041012298
"NBPF10",0.093820221,0.057806453,0.103412585,0.224569995,0.083325328,0.957177213,0.08623144,0.278425937,0.14650818,0.150187872,0.137466469,0.01310773
"NBPF14",0.036570934,0,0.028408584,0.035386336,0.018319049,0.243477443,0.023835462,0.055787926,0.0479211,0.026673452,0.025134447,0.010625252
"NBPF9",0.040028908,0.028365837,0.057760325,0.087770082,0.028877995,0.244595887,0.043305517,0.077661311,0.030930803,0.054492438,0.074855334,0.012445204
"NBR1",0.054825792,0.029304484,0.057357115,0.054401346,0.067956412,0.06036585,0.0569989,0.047885159,0.085844611,0.118328391,0.121581214,0.046333147
"NCAM1",0.289162929,0.028640705,0.264392478,0.306076283,0.517551198,0.361881367,0.546072936,0.723249806,0.07728522,0.062627934,0.138551534,0.321629641
"NCAM2",0.107322628,0.011459478,0.137463776,0.30820095,0.116810731,0.086509034,0.137228001,0.160183489,0.019316013,0.007994954,0.161845863,0.121850718
"NCAN",0.093708325,0.007426554,0.061490492,0.040171772,0.007464455,0.349355877,0.058164666,0.064119772,0.006797864,0.011943504,0.026454482,0.045886032
"NCKAP5",0.009863216,0,0.012629846,0.012071365,0.208963686,0.100139471,0.014596398,0.092832465,0.047223395,0.011709181,0.036525099,0.008448003
"NCL",0.096931287,0.521654455,0.134335892,0.167813957,0.144714226,0.102340321,0.14002606,0.126263656,0.139169299,0.329167904,0.211504902,0.141882107
"NCOA1",0.111895602,0.006309389,0.143231558,0.207380842,0.076375363,0.170364728,0.167287304,0.165462751,0.075282444,0.224471432,0.119982599,0.121097462
"NCOA7",0.196663704,0.079734877,0.188674485,0.140595947,0.281762996,0.053676478,0.108347944,0.059711415,0.081371562,0.10669371,0.032876359,0.270359139
"NCOR1",0.366367696,0.10762281,0.305528133,0.307458267,0.278279507,0.243448291,0.323049744,0.233282517,0.298578316,0.1764422,0.249210756,0.160898912
"NDE1",0.006806678,0.032474056,0.0114888,0.004400957,0.062773285,0.0222185,0.006380205,0.018003819,0.01009918,0.021465427,0.049474463,0
"NDRG1",0.028821424,0.056569802,0.036393959,0.024902694,0.301537626,0.06350655,0.014215993,0.049483531,0.036203421,0.188373152,0.078711832,0.005328651
"NDRG2",0.016582252,0.037048282,0.049773512,0.043480949,0.310888876,0.739798802,0.03345651,0.136566075,0.147515777,0.220462184,0.272975958,0.028214888
"NDUFA1",0.077338754,2.04388587,0.064001685,0.05030337,0.043952845,0.072419328,0.090897701,0.077040768,0.048256055,0.159725975,0.081727757,0.202873487
"NDUFA11",0.046738648,1.178974365,0.041791182,0.062812037,0.045190392,0.045436583,0.048994291,0.057699575,0.027659348,0.101266354,0.081717257,0.065828161
"NDUFA13",0.114614141,1.338134377,0.090086924,0.068168273,0.091082913,0.101302154,0.089060151,0.089191157,0.04972805,0.193211979,0.103948932,0.135760311
"NDUFA2",0.024856594,0.842186311,0.04448082,0.031150639,0.018205202,0.037200143,0.041268146,0.05122883,0.004669362,0.045138024,0.033420443,0.07860018
"NDUFA3",0.088249298,0.874142361,0.075887244,0.0967485,0.085453452,0.084904943,0.107068131,0.085937105,0.043013199,0.18039127,0.080437966,0.111218716
"NDUFA4",0.10732798,2.182144279,0.144028466,0.126613226,0.075535421,0.126387142,0.14965647,0.152462489,0.05386773,0.142900894,0.14539776,0.354634429
"NDUFAB1",0.044223334,0.838846304,0.040546862,0.038325875,0.025452845,0.023735269,0.042505237,0.03761536,0.032414969,0.056928693,0.022560797,0.029289562
"NDUFAF6",0.036506836,0.048843572,0.029717949,0.027206654,0.024645407,0.045799316,0.027506035,0.046974761,0.034955698,0.020970513,0.069114428,0.01932104
"NDUFB1",0.136282977,1.509077668,0.104127014,0.135101343,0.07548604,0.097006906,0.139619308,0.109596069,0.059703832,0.101939467,0.177526076,0.046872547
"NDUFB10",0.044021953,0.658755679,0.049792012,0.063396281,0.039758469,0.046577432,0.055529728,0.044623448,0.018263143,0.093079332,0.064084251,0.045850272
"NDUFB11",0.022485431,0.848508047,0.013406042,0.015465126,0.022829172,0.014778963,0.018452961,0.013845684,0.003974975,0.070626216,0.010653764,0.015222176
