"","CD16..natural.killer.cell","CD16..natural.killer.cell.1","conventional.dendritic.cell","granulocyte","monocyte","plasma.cell","plasmacytoid.dendritic.cell","T.cell"
"FGFR1",0.015860897844488,0.0286528119963815,0,0.0159345876086842,0.00964566242390608,0.0638764655590057,0,0.0525768721842377
"FKBP6",0.0145366777073253,0,0,0,0.0128819378235501,0,0,0.000570005408329339
"SMC1B",0.0106999321417375,0.00558645036796889,0,0,0,0,0.00701663026778009,0.00219540618049019
"FBLN1",0,0,0,0,0.006442209684102,0,0.00667382633171208,0
"ITGA8",0,0.00291273192742745,0,0,0,0.0087123429775238,0,0.000882652097572813
"CST7",2.72064692215486,4.53962113645303,0.759798068266649,0.718106891892173,0.445255540778078,0.43090439081192,1.05642959089374,1.06932972460042
"MAP2",0,0,0,0,0,0.011538565158844,0,0
"PIAS2",0.308082038705999,0.199169690954081,0.163108935722938,0.386497634107416,0.156932972146851,0.261751590371132,0.308431264966033,0.179957917758397
"AMPH",0.01241882389242,0.0590022852278912,0,0.0315144538879395,0.00244083620279405,0.0474527436494827,0,0.0347409212191498
"ARAF",0.338495336879383,0.394575884375478,1.14400593134073,0.685456622730602,0.441895844488299,0.426520073413849,0.708083584063077,0.263250447690237
"MCCC1",0.208572363853455,0.125542871571919,0.395408190213717,0.369352414391258,0.13093286434625,0.330077070593834,0.411406877428986,0.152718980911924
"LAMP3",0,0,0,0,0.00735048904772978,0,0,0.0137010440994476
"NEBL",0,0,0,0,0.0102215258538585,0,0,0.00042589410233322
"ACER3",0.0614446434107694,0.107242977154947,1.75284386598147,0.190182758461345,0.557700849741075,0.169641351699829,1.0482275276089,0.0750126409751047
"UBE2K",0.551577935435555,0.448426155199644,1.72019638465001,0.729844830252907,0.682293577979723,0.866575167179108,1.07167210531393,0.414818108210962
"PIK3C3",0.210461565581235,0.139473408657693,0.539917414004986,0.425495071844621,0.166158315892009,0.266911420822144,0.301057367229778,0.146991050038468
"N4BP2",0.238035568324002,0.119206582510147,0.568078508743873,0.374369826100089,0.161191614625625,0.554538735747337,0.318942287039519,0.128398645204839
"TIGAR",0.0749779300256209,0.0831962390299845,0.267303072489225,0.0335519649765708,0.168032632626403,0.218854831457138,0.554485382827809,0.0603713604578406
"TULP3",0.130575918067585,0.0375533473570499,0,0.153651989590038,0.0345040880610384,0.0487414288520813,0.04150638192199,0.0456016623145598
"SYNJ2",0.10679194168611,0.174654707148354,0.143134979101328,0.0958418477665294,0.0412784929618481,0,0.108396755500489,0.184273075406544
"ADCY2",0,0.00251556879277618,0,0,0.0117169906257753,0,0,0.00234961957406674
"PPP2R5C",0.95818643136458,2.23296316382992,0.797878522139329,0.914556463198228,1.08392914445107,1.36947830617428,1.09673980502195,1.58341027351365
"PMS2P1",0.455586662075736,0.353482625311039,0.28298085469466,0.897312396222895,0.162218146423729,0.595256249308586,0.341346884882727,0.247609533637517
"RBFOX1",0,0.00256158918426985,0,0,0.00624675817113465,0,0,0.00242249901611888
"GNB1",0.482074835083701,0.565650844118509,0.998313619540288,0.809686001864347,1.00054621392226,1.17249519646168,1.33286524967498,0.416124940503975
"HOXA9",0.106474315036427,0.00990155617337644,0.730018890821017,0.840017240697687,0.01879114258317,0.0574759495258331,0.220872481003948,0.00418945709164046
"EDN1",0,0,0,0,0,0.021889979839325,0,0.00253970182546384
"MLLT10",0.219742786884308,0.148833312329608,0.458564721621,0.571690225601196,0.315990666364019,0.341627513766289,0.424228340684377,0.220067439078596
"ZCWPW1",0.112753096493808,0.0722077113578286,0.138709682684678,0.1400308619846,0.0812932440963533,0.145779095888138,0.0897336326960313,0.0824917656449281
"FGF20",0.0140523845499212,0,0,0,0,0,0,0.000498323793203246
"P2RY10",0.192815586653623,0.108458239396296,0.299682378768921,0.0772181380878795,0.0369485860081117,0.0265375077724457,0.0728250900376279,0.224312039446524
"ITM2A",0.879094817421653,0.631789183458977,0,1.37536702156067,0.0997725675388168,0.186579841375351,0.0893480643085467,1.00778188764679
"NRDC",0.584409615126523,0.56569189713511,0.940421232810387,0.926731901819056,0.515180968906376,1.25444598436356,0.963394133751575,0.394462841414276
"VDAC3",0.514778083020991,0.911500990697341,2.39052867889404,2.11675075075843,0.731846263541423,1.17169911682606,1.74450609652307,0.658223902853724
"PCM1",0.765975250981071,0.605692894471033,0.155173154977652,1.37940239689567,0.483025991584751,1.04370330929756,0.895710294824898,0.64464687087125
"TNRC6C",0.498179994929921,0.262775462309636,0,0.313783959908919,0.0728703189615307,0.134583576321602,0.101181807312062,0.415670748616546
"CBFA2T2",0.330491677197543,0.26000918525707,0.319319853415856,0.268865329569036,0.151293351036213,0.214597637653351,0.2860515474085,0.295724450448474
"ITCH",0.251824297688224,0.38913628040737,0.636959442725548,0.257881263169375,0.290879977413231,0.704773921370506,0.374772894422081,0.192801320310034
"PKD2L2",0.0152953700585799,0.0107286880333401,0,0.0733111262321472,0.00474976276300346,0.0246518015861511,0.0213009309135006,0.00765450548681413
"TP53INP2",0,0.0326350555097593,0,0.016307689926841,0.0653364492403106,0.0527878695726395,0.0152151655913191,0.0202220469803612
"SDF4",1.32153396389701,1.43725768246255,1.35902388279255,1.57881578748876,0.954133219342774,1.42433916568756,1.52893317379429,0.85440658303883
"MYH7B",0,0.0100956896838679,0,0.016359561139887,0.0108621825751462,0.0538005101680756,0.0062966604169421,0.0185525167303486
"TP73",0,0,0,0,0,0.0183919435739517,0,0.000940909813408836
"TOLLIP",0.224530799822374,0.29477364994164,0.486701213396513,0.439670504223217,0.600309958729003,0.372210604548454,0.81480859086363,0.175412232573108
"UBE2D4",0.112234242395921,0.0696299911684012,0.452228555312523,0.224388928846879,0.0962104177806881,0.189803913235664,0.295886485283557,0.115775261313761
"CLUL1",0,0,0,0,0,0,0,0.00140188161510273
"RUNX1T1",0,0,0,0.076639974117279,0.00416718502885504,0,0,0
"THOC1",0.169442705674605,0.21311074841294,0.43150192957658,0.538639288598841,0.138589887773908,0.296787855029106,0.473036337532474,0.169191895133237
"FKBP7",0.0152200438759544,0.0208932642197451,0.145148754119873,0.186294467882677,0.00648376919553894,0.0608758080005646,0.0857069389368608,0.0153612039448398
"OSBPL6",0,0,0,0,0.00276598603985426,0,0,0.000476874214160241
"SLC1A3",0,0,0,0,0.0598113827251779,0,0.00810133816791927,0.000468142232711684
"XRCC5",1.2129109415141,1.41354946806359,2.07377906029041,1.90818943327123,1.22676465627489,1.53497284591198,2.1150980609596,1.29246155402572
"LXN",0.0665311802517284,0.054689113573499,0.133904658831083,1.08075726249001,0.0401831027250002,0.171170243620872,0.100804172084973,0.0866528824886524
"SP140",0.189293179728768,0.442983862759873,0.581970508282001,0.0329986474730752,0.226691161396885,0.187840297818184,0.490226587187808,0.364183203619236
"MKNK1",0.378252643888647,0.284877983985974,0.300391490642841,0.272905297712846,0.393367898713132,0.287836901545525,0.351696006879458,0.234065472967756
"TNS1",0,0,0,0.0518056024204601,0,0.0115414190292358,0,0.00194500240996517
"REXO1",0.0414943597533486,0.0962317424342529,0.133904658831083,0.130436728217385,0.0977150315198434,0.183038440346718,0.171317852612746,0.0820152419298418
"SAR1A",0.768857654658231,0.948257992146735,0.672658727719234,0.754916046966206,0.603747625915191,0.701763982176781,0.768826955180628,0.419645757666906
"CDC14A",0.111622575196353,0.154242348793585,0.144509223791269,0.198140057650479,0.136396340040486,0.282255007624626,0.198544572358116,0.327451189370509
"RAPGEF3",0,0.00239779579560604,0,0.0912265788425099,0,0,0.00660984262675542,0.000367701923194587
"CEACAM1",0.0130688428878784,0.0172759568664977,0,0.0535262985662981,0.0124995672509178,0.012073962688446,0.0477034348586073,0.0325240569188384
"SENP1",0.0580367305062034,0.0787437005922428,0,0.0584899013692682,0.0560205914858046,0.02703289270401,0.0706529427208378,0.0458030736327567
"CIC",0.0874681581150402,0.135039839474792,0.748910913100609,0.221959225697951,0.204522920595244,0.184815590977669,0.361161086646425,0.103854762996429
"LIPE",0.125987152619795,0.0736941203398358,0,0.155292772163044,0.0192130411307386,0.0471948373317718,0.0416696622126126,0.113917685150842
"FDFT1",0.51506631265987,0.63079323582926,1.37007323595194,1.70411486192183,0.533180063395932,0.788996226191521,1.4318866484189,0.505350726025824
"PAFAH1B3",0.197808296030218,0.157671680352339,1.37498585994427,1.53326358578422,0.276438065305387,0.386652859449387,0.828779966332192,0.33011730967721
"OPHN1",0,0.0176713004171805,0.299751960314237,0.119206970388239,0.00688771886228132,0.0387639832496643,0.0214768731316855,0.000779483904818588
"KIF22",0.247371857816523,0.249145147819715,1.00065809946794,0.541591211882505,0.802638592548547,0.317760154604912,0.895001069651886,0.267757139694272
"CARMIL1",0.063519654490731,0.00532230045057937,0,0.124750751798803,0.0283248640268419,0.069334129691124,0.0348361037498297,0.0404308342131235
"PGM1",0.281214419278232,0.31568221849698,0.920371046433082,0.581332028995861,0.150154362421854,0.195349909067154,0.613094660134807,0.15390473060933
"DDX1",0.385255485231226,0.35664255736419,0.347266499812786,1.63836845376275,0.351480784659596,0.766181710958481,0.805995519375088,0.409016733825267
"DNM2",0.715333770621907,0.596517537990797,0.285902784420894,0.557683698697524,0.438435386615673,1.11852988004684,0.593423426745342,0.327560688501215
"EPB41L2",0.0857561653310602,0.0187050628802253,0.156137264691866,0.0893602923913435,0.102660160053634,0.126597769856453,0.430997528507068,0.0293271562775211
"MOXD1",0,0,0,0,0.00731319230559807,0.139637272357941,0,0.000444560317519289
"STX7",0.315180053494193,0.410788655543835,1.86763311349429,1.12167307246815,0.949805439209993,1.86698012590408,1.69485867657139,0.186728919170572
"RABL2B",0.300158600373702,0.295398986838829,0.203272452721229,0.169508214430376,0.172463311673317,0.285395387411118,0.281702250341244,0.202815099084858
"KEAP1",0.214324516599829,0.247603012304986,0.564016360502977,0.602189494263042,0.146815920788838,0.219059559106827,0.37043731077961,0.117724231414569
"DDX43",0.0260985027660023,0.0246393580720496,0,0,0.00767577164687579,0.0230542731285095,0.0072792748676186,0.0179139603153743
"PTPRH",0,0.00201449614951577,0,0,0.00809309156201002,0,0.00618175731544875,0.00379760995793511
"DCT",0,0,0,0,0.00327273615551659,0,0,0.00263177224120256
"SLC35C2",0.393464248830622,0.405745162235123,1.04775409515087,0.647943498871543,0.313804921307309,1.1663288640976,0.82546784751043,0.408976340472965
"CRYBG3",0.0532756296071139,0.00512754312777327,0.285902784420894,0,0.114529049590126,0.280488393306732,0.244956780509695,0.017995063958615
"SCTR",0,0,0,0,0,0.0150451731681824,0,0
"RFX3",0.0838457010009072,0.050393706117808,0.122793848697956,0.257465398311615,0.099446993692845,0.153361641764641,0.0975546325956072,0.0581237627181224
"RIF1",0.30902604081414,0.280265355793366,0.412835772220905,0.778740811347961,0.299657531791386,0.358181493282318,0.373654879604859,0.260908696755808
"RAB21",0.284813313050704,0.255818334771464,0.426115833795988,0.29860399202867,0.491056122663679,0.511956212520599,0.503908975179805,0.221981776823082
"SLC4A4",0.112236566977067,0.079003956456293,0,0.0173077138987454,0.0109429199015181,0,0,0.0296303918040351
"SMARCA2",0.72315496748144,0.686812360001171,1.07078434870793,0.961186064373363,0.563683946835193,0.601531359553337,0.955023354470136,0.539613629754664
"SESN1",0.254783519831571,0.243160985306201,0,0.472126202149825,0.133806916234665,0.142383288145065,0.17865098988099,0.271257958711098
"MID2",0,0.00724048705595018,0,0,0.00593227134226646,0.0285906910896301,0,0.0164181737735852
"PIH1D3",0,0.00400410374677155,0,0,0,0,0,0.000385878800002719
"COL5A3",0,0.00505656621457898,0,0.0183959007263184,0.00318936101245216,0,0.00703793269059191,0.0315792923388274
"SRCAP",0.0294044494628906,0.0265708227178614,0,0.0685421640222723,0.0425441923384877,0.0479181325435638,0.0204553176398293,0.0155028708835532
"PUM3",0.295333526351235,0.246189556079783,0.156137264691866,0.580590931935744,0.148017860620592,0.225107015371323,0.431403991391889,0.261711187691904
"CPB2",0,0,0,0,0,0,0.00732658075731854,0.000457437951389496
"CNOT4",0.453182352672924,0.482733456200313,0.796593354298518,0.648076684908433,0.302235478314889,0.35445188999176,0.628748280265403,0.375006948353565
"PSEN1",0.21152443560687,0.212757547842414,0.445200929274926,0.459506896409121,0.539469487705806,0.428798369169235,0.619774919411669,0.158560627374314
"CPOX",0.0750776063312184,0.0548915766688675,0,0.180310254747217,0.11276722867085,0.0881840860843658,0.169819954225787,0.0552070512086967
"CLDND1",1.02269958257675,0.661866765264025,0.701604320452763,0.518048127131029,0.373963543406219,0.561714834570885,0.758258307891035,0.542214763211012
"MOK",0.0472568262707103,0.0200267472221604,0,0.159877284006639,0.0193064215564949,0,0.0823585697978834,0.0101821470102202
"HSP90AA1",2.73039007945494,2.79177033384437,3.10908205692585,3.5743735703555,2.52001043013243,3.24266646146774,3.38306639242014,2.60552708961088
"RBL1",0.0556682413274592,0.0920341654265304,0.137549510368934,0.0913706454363736,0.0249995211714105,0.262594980597496,0.0554597357974892,0.106508910940094
"DLGAP4",0.238328362594951,0.213597737192494,1.26594450840583,0.352764040773565,0.257798112323832,0.403419513702393,0.467454597007397,0.222283081324411
"IGSF9B",0,0,0,0,0,0,0,0.00501755677636056
