"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"PLCB1-IT1",0.00113516964818634,0,0,0,0,0
"AC244035.1",0,0,0.00339678057729901,0.0012026153511583,0,0
"NUTM2B-AS1",0.52392975825946,0.563717556908302,0.384912135635137,0.437797034781681,0.274110086340653,0.333594957454093
"AL663058.1",0,0,0.00104557599662981,0.00115785845865432,0,0
"AL390119.1",0.00606322733368828,0.00493363684146249,0.0098982107056547,0.00540896114293047,0,0
"AL354707.1",0.0122502083376809,0.0046574650098331,0.0123605338053169,0.00244027916729253,0,0.0285100840882167
"GBP1P1",0.0791297778299344,0.017881688909914,0.0326765520770089,0.0172073151484136,0.0430856403551604,0
"AC104651.1",0.00321923321807138,0.00860246102414539,0.00248885210225619,0.00252381553488993,0,0
"AC104332.1",0.00343873052361393,0,0.00254505204726265,0.0011705178458779,0.0377146018178839,0
"CYP4A22-AS1",0,0,0,0.00115732041853456,0,0
"LINC00475",0,0.00269834589918255,0,0.00304773429245358,0,0
"LINC01703",0,0.00133894196706801,0,0,0,0
"AC005237.1",0,0.00103210743947245,0.00182795056798825,0.00127262220069492,0,0
"AL592114.2",0,0,0.00113800058025516,0,0,0
"AL450384.1",0.00163520013690897,0.00123198457698726,0.0013457773371634,0.000799438040383647,0,0
"Z82206.1",0.0959202127509567,0.11666336755457,0.0889602111033677,0.106103557461391,0.0810103441539564,0.0806866828227203
"AL807761.2",0.00425924740232005,0.00103285025112593,0.00105533704513484,0.00132284023633166,0,0
"LINC01393",0.0162395615801328,0.0146286759144896,0.00943107417861132,0.0121296410389642,0,0
"STIP1P3",0,0,0,0.00123569813791834,0,0
"LINC01821",0,0,0.00110622462458812,0,0,0
"AC245452.2",0,0.00102407808479552,0.0022809042421575,0.00114728428219125,0,0
"LINC01980",0,0,0.00109590118732966,0.00110510955125533,0,0
"AP000320.1",0,0,0,0.00120277252496097,0,0
"C2CD4D",0.0110298063919752,0.00734286392154406,0.0115946465090418,0.0167049744575273,0.0398140480643825,0
"UBE2D3P2",0.101930287169256,0.116476198586587,0.0443575233171499,0.0563501461186514,0.0834109682785837,0.0256785322355744
"LINC01492",0,0.00150065645700324,0,0.00115517838671467,0,0
"CCT4P2",0.00471048912975563,0.00465057603078871,0.00214955217623417,0.00649029571415969,0,0
"RPL35P5",0.88120247881279,0.6559518019558,0.74669211799614,0.554126310793884,0.74074972554257,0.504046048093962
"NCBP2-AS1",0.00448033380436284,0.00461522588378421,0.00112166109773302,0.00479191697911708,0,0
"EDNRB-AS1",0,0.00306376899706459,0.000938226584385985,0.000977124101823265,0,0
"AL358942.1",0.00545983788225306,0.00462112384824897,0.00138749067752433,0.00446628209660304,0,0
"BX248409.1",0.0131577083214449,0.0100820558754044,0.00902288230424075,0.00540601154808971,0,0.077810229871097
"LINC01623",0.00126318443440694,0,0,0.00107433013651665,0,0
"MTOR-AS1",0.00220580901753343,0,0,0,0,0
"LINC02158",0,0.00110926650077654,0,0,0,0.0267049930239684
"ZNF469",0.00120312747964941,0.00856819614094106,0.00237194778992958,0.00562147334168639,0,0
"AL138785.1",1.06786578938748,0.769297575980575,0.940517738406984,0.659478199844728,0.504630061199791,0.764568200847446
"MTND2P28",0.316257445546514,0.412344696284139,0.272504296856225,0.360924496856142,0.192745371868736,0.280536384390505
"AL161644.1",0,0,0.00114406427751953,0,0,0
"HNRNPA3P15",0,0.00132944525985462,0.00126618089412668,0,0,0
"SNRPEP5",0.00298508873986164,0.00152931261302239,0.00105723916076924,0.00113471404153491,0,0
"AL606491.1",0.0135837756679687,0.00273104548653965,0.040810383472246,0.0297747485858197,0,0
"RPL35AP4",0.00350098037623542,0,0.00353433850361019,0.00115358215313642,0,0
"AC005487.1",0,0.00179044465523469,0.00240428748224358,0,0,0
"SBDSP1",0.0322068247359868,0.0453885517128349,0.0327888600723982,0.035753825156938,0.121109274814003,0
"AC064875.1",0,0,0.00118380779041814,0,0,0
"EIF2S2P5",0.00390395911366304,0.00249763948833523,0,0,0,0
"BX255923.1",0,0,0,0.00132094940962508,0,0
"LINC01716",0,0.0014867942337215,0,0.00139593438737254,0,0
"MCRIP1",1.02119213513996,0.910553333697407,0.511414069212827,0.543028152789937,0.918811715276618,0.525149135781615
"AC073475.1",0.00302432320422136,0.00216232482312712,0,0.00221038324425615,0,0
"FCF1P6",0.00135270237501859,0,0,0,0,0
"LINC01771",0.00163365300111679,0.00302390507118187,0.0043281167299596,0.00907269325842517,0,0
"FAM225B",0,0,0,0.00109186155245081,0,0
"LAGE3P1",0.00601503804543977,0.00524336858410731,0.00364929748842159,0.00303863918756138,0,0
"HNRNPA1P35",0.00286959579840971,0.004292552295442,0.00293908683731186,0.00926836882416259,0,0
"SLC26A6",0.0428871448389882,0.0641241601763459,0.0363475934667051,0.0414542367423145,0,0.0494286966003828
"AC114737.1",0,0.00151576079315876,0,0.00102293674541403,0,0
"AL031274.1",0,0,0,0.00218233555043523,0,0
"PTPRD-AS1",0,0,0.00133690137898046,0.00118082680950757,0,0
"AL512326.1",0.00197032035389033,0.00442161492167206,0,0.00392053988584017,0,0
"ATP5G2P1",0.0210871270853524,0.0193725164411855,0.0142119925879227,0.0184483019549217,0,0
"AL512504.1",0.00648820923243997,0.00143083026461066,0.00263189127725107,0.00125106079961277,0,0
"AL031846.1",0.0206581109470631,0.0998348055073564,0.0135826167768523,0.0522715099319775,0,0.0259340065437675
"AL592166.1",0.00866601554901385,0.00964119815746544,0.00126992565950445,0.00231933047808089,0,0
"BX890604.2",0.00124839719232741,0,0.00208393378554288,0.00457809315492102,0,0
"AC007000.2",0.00304696888137333,0,0,0,0,0
"AP001627.1",0,0,0.00133654426648286,0,0,0
"FGD5-AS1",0.412332949046829,0.404616928629739,0.320189688821786,0.317656370127334,0.521854940213655,0.193793751249377
"NPM1P18",0.0011060273953898,0.00142314715601092,0,0,0,0
"AL773572.1",0.0013401499915111,0.00267286386521817,0.00106182326737693,0,0,0
"MEG8",0.0116853943630955,0.0194398128806646,0.0217266988230973,0.014201839417713,0,0
"AL357500.1",0,0.000974565295118782,0,0,0,0
"AL023581.1",0,0,0.00108898855500496,0,0,0
"AL451063.1",0,0.00186057226542053,0,0,0,0
"DBH-AS1",0.00182640462347311,0.00144369188864626,0.00377627135829589,0,0,0
"LINC00431",0.00204971734766881,0.00108081032483023,0.00349572381189903,0.00466010799678057,0,0
"AL596247.1",0,0.00474849607876597,0.00699279187008674,0.00337010652554182,0,0
"LINC01389",0.00338750335223977,0.00133687377575055,0.00235996707793205,0.00790797561434027,0,0
"P3H2-AS1",0,0.00154207529534447,0,0.00119593589555143,0,0
"DHRS4L1",0.0042929215318196,0,0.00419203728427513,0.00252560636802552,0.0435281703346654,0.0260703483683951
