"","Undefined.Type.3","Oligodendrocyte.progenitor.cells","Endothelial.cells","Astrocyte.Type.3","Undefined.Type.1","Immature.neurons","Undefined.Type.2","Astrocyte.Type.2","Microglia","Oligodendrocyte","Astrocyte.Type.1","Oligodendrocytes"
"Arrdc2",0.014531419,0.01699904,0.025618212,0.014115345,0.014970294,0.00443024,0.027831558,0.027646815,0.012366734,0.098132086,0.036291657,0.385076975
"Arrdc3",0.028200157,0.039384024,0.041186546,0,0.021347885,0.031230005,0.044034657,0.066176281,0.018885402,0.089592903,0.070628797,0.312822574
"Aspa",0.002862274,0.019494247,0.015607407,0.016536464,0.002449843,0.003492763,0.039874862,0.034241215,0.008784315,0.24214732,0.068608726,0.926600762
"Asrgl1",0.027022255,0.067857913,0.062659856,0.09428965,0.023434202,0.020198621,0.03385006,0.327980292,0.029901818,0.035204888,0.085828257,0.050999525
"Atp13a4",0.002313271,0.004077172,0.010339583,0.021581958,0.003494744,0.001683535,0.020103934,0.271752804,0.003056713,0.00967679,0.106288924,0.005779423
"Atp1a2",0.080082843,0.322425881,0.873028202,0.755627475,0.070891547,0.087612785,0.636062721,2.025528626,0.091977122,0.091423998,0.964888355,0.15674333
"Atp1b2",0.045635816,0.114827513,0.204998668,0.32316782,0.040511743,0.09629577,0.105680618,0.916263866,0.060162789,0.07772637,0.292385711,0.048998635
"B2m",0.04337543,0.039074473,0.815059721,0.037742124,0.034838351,0.026677659,0.155256472,0.134900851,0.0845287,0.041481787,0.058790275,0.032043605
"Bcan",0.031148293,0.381807915,0.08087633,0.215772471,0.049949374,0.021613163,0.073960577,1.229259868,0.053885076,0.057660573,0.449906569,0.061980782
"Bcas1",0.002817678,0.181260928,0.017590258,0.13141872,0.010078991,0.01613601,0.003608962,0.039500285,0.012600563,0.11393205,0.03200113,0.404875813
"Bsg",0.214297256,0.268782824,1.610596583,0.395251323,0.22729976,0.26049281,0.527604504,0.348474063,0.279067078,0.23051547,0.298945506,0.246877041
"Btbd17",0.004896765,0.007213419,0.013946895,0.01897549,0.006802647,0.000367718,0.014266139,0.251331264,0.007998781,0.006055146,0.087484401,0.006816221
"C4b",0.001351689,0.003343402,0.019729765,0.018767575,0.002859987,0.00058118,0.01212429,0.282028537,0.00314106,0.011765975,0.05037554,0.038098328
"Cacng4",0.002947405,0.383425586,0.002645207,0.006453709,0.000910994,0.007017479,0.007173992,0.041145767,0.017651543,0.016126061,0.024456896,0.024168504
"Cald1",0.014829131,0.122260276,0.837258851,0.431055993,0.082207772,0.372068176,0.169520409,0.090809233,0.066990144,0.120366969,0.082644688,0.245026336
"Car14",0.001440248,0.002126043,0.04953874,0.017324518,0.004393468,0.001618499,0.033354623,0.046022134,0.000503557,0.090011319,0.019665999,0.320480291
"Car2",0.022537079,0.03646901,0.19724296,0.0625761,0.03810376,0.03765098,0.060406376,0.288317094,0.031801314,0.278019929,0.129225329,0.856721504
"Carns1",0.00552209,0.002028405,0.002331148,0.018767575,0.005419533,0.000731212,0.009785298,0.025177686,0.005089741,0.047454395,0.016010418,0.219341549
"Cbs",0.001337905,0.000682359,0.010950429,0.2306854,0.001922493,0.005469635,0.013739813,0.239402996,0.001178134,0,0.104317202,0.008292092
"Ccdc141",0.007764919,0.018629335,0.623096779,0.091222983,0.008461437,0.006405604,0.084944596,0.263664727,0.028586364,0.020467358,0.091222124,0.005159608
"Ccp110",0.10827495,0.139696583,0.109407102,0.126667536,0.081242135,0.072668029,0.102785184,0.106681332,0.103890425,0.469116468,0.207999329,1.141583227
"Cd63",0.01661389,0.086260875,0.14806145,0.47098606,0.018257198,0.025104629,0.09633197,0.575044298,0.012047736,0.07194202,0.199455991,0.136311181
"Cd81",0.169123456,0.435886359,0.659242273,0.560429167,0.152396142,0.164439712,0.248526979,1.155122222,0.226604544,0.302888765,0.486278966,0.573073879
"Cd9",0.0053169,0.196517941,0.069282857,0.381912688,0.007189924,0.020957111,0.032477155,0.232859623,0.011383945,0.060417692,0.0462174,0.201757885
"Cers2",0.039636509,0.070784201,0.09315761,0.035430047,0.03388417,0.043249131,0.054502616,0.080148631,0.027960821,0.148011632,0.098879024,0.381495285
"Chd7",0.013285927,0.126845854,0.057576359,0.146807127,0.026848806,0.080133435,0.042467732,0.161995219,0.064711067,0.091882714,0.059748319,0.251396773
"Chn2",0.013182779,0.025056517,0.061001704,0.007186989,0.003403521,0.006129483,0.021177896,0.007189711,0.012482885,0.070497382,0.025761382,0.209441435
"Chpt1",0.111987575,0.20423021,0.126019745,0.275175391,0.136891226,0.129397667,0.10752143,0.387189074,0.118508792,0.133401858,0.198352792,0.104244574
"Cldn10",0.005658602,0.016213569,0.041668326,0.03573384,0.017711408,0.007988705,0.017557631,0.494017049,0.007048263,0.007394837,0.135334456,0.015636823
"Cldn11",0.010507443,0.030148378,0.036246338,0.064765544,0.011911305,0.016972111,0.064921067,0.041656303,0.015663062,0.213946556,0.077191851,0.918010415
"Clic4",0.004381024,0.004375299,0.499075579,0.113968585,0.002569591,0.008704344,0.077754146,0.057577745,0.007903616,0.052793361,0.021837555,0.163904622
"Clmn",0.044907261,0.045086719,0.046625654,0.249893425,0.089197295,0.1377574,0.079452988,0.521177021,0.148609521,0.177956076,0.245058516,0.488552043
"Clu",0.133539114,0.212284293,0.169260592,1.368157477,0.130747891,0.102353445,0.204842423,1.704519478,0.12005705,0.142572501,0.692534884,0.104715001
"Cnn3",0.012398012,0.05637898,0.212163511,0.430263773,0.021625161,0.052006335,0.055807189,0.193260376,0.030402262,0.041112695,0.068906193,0.078080431
"Cnp",0.014407511,0.04120929,0.053672662,0.160017328,0.014011235,0.024483808,0.043648597,0.115795285,0.012734877,0.217721614,0.10545352,0.695669848
