"","conventional.dendritic.cell.type.1.induced.day.9.dendritic.cell","conventional.dendritic.cell.type.2","human.embryonic.fibroblast","human.embryonic.fibroblast.induced.day.type.3.dendritic.cell","induced.day.9.dendritic.cell"
"KCNS3",0.0217934296170944,0.0709491136826967,0.026478826022539,0.0188700530968137,0
"KIF5B",2.26015450339592,2.68843715363427,3.1575728955816,2.44405401401378,2.10322719033559
"GPR37",0.0278556037258792,0.0682688967177742,0.0302878012422655,0.0260385518020988,0.0225684407552083
"AKAP13",1.11658691696422,0.955443129727715,0.832889552976264,0.944476808473118,0.648248251914978
"CDCA4",0.17980857649628,0.362936224592359,0.782412481698833,0.283567155763157,0.340458848953247
"CHCHD7",2.14354333862082,2.15121161545578,1.63167108277806,1.67421314639715,1.43862537797292
"HTRA3",0.0157081656199439,0.255628040746639,0.284420510198249,0.293762435061381,0.115968583106995
"FOXN2",0.328446991036686,0.139060171811204,0.198679392259629,0.159581321278962,0.170561680952708
"BFSP2",0.002912847805554,0,0,0,0
"CELP",0.0120170872817455,0,0,0,0
"USP32",0.389117384001143,0.353511717758681,0.312430808974094,0.30523675186525,0.263744056065877
"CEL",0.00583461640274812,0,0.0101452147374388,0,0
"PPM1D",0.71908336999465,0.231113109149431,0.146101295166328,0.148525184400297,0.249413765748342
"GPR27",0,0,0,0,0.00589078585306803
"AC093323.1",0.115009852707497,0.155777013615558,0.447116544403014,0.339618691923592,0.247153299013774
"PSG6",0,0,0.0034173457348933,0,0.0059239501953125
"KBTBD2",0.406402802976031,0.268628312568916,0.252230095863342,0.180387264202788,0.292224082310994
"RIOX2",0.518790124851609,0.215310555539633,0.598346090121347,0.571479421463531,0.320720559914907
"TRIAP1",1.27377243088437,1.70411695932087,1.96789295008925,1.72487223037831,1.3255897415479
"LILRP2",0.0204673636158676,0,0,0,0.0136253881454468
"LSM3",2.41550717835966,2.91954908402343,3.70016152624224,3.09007536230335,2.5479178498586
"KIAA0232",0.239764908028003,0.492783008437408,0.547515508385955,0.539831297285625,0.369133707205455
"MTSS1",0.0763162219679201,0.066108763217926,0.0242414200892214,0.0390390753746033,0.0975100701649984
"TMEM43",0.434442303065687,0.53074931314117,1.09153973118204,0.982218266712278,0.801395606040955
"RNF139",0.532149341752224,0.37430103593751,0.608763315052283,0.740938063089279,0.571949915250142
"RPS9",5.11554919235782,5.46738804014106,5.52072279101512,5.67108469221589,5.23399663352966
"PLA2G1B",0.00788509403398616,0.0361184062142121,0.00487430486522737,0.0169071303899268,0.0368906307220459
"CYTL1",1.53207631898501,1.53715462433664,0.811956679234739,1.19708292026013,1.78308666658401
"TSEN34",2.24123660111472,1.53122753140173,1.99644010418751,1.99983152758206,1.72514705721537
"TRH",0.0194030223839358,0.0127098881884625,0.12518551701405,0.0834139806525816,0.0379625495274862
"GSTA4",0.262557208427472,0.435910216287563,0.755507582914634,1.18922364284435,0.912937831719716
"MSANTD4",0.257711377015583,0.236931101271981,0.261185545217795,0.283182864357131,0.200157347361247
"NDUFA3",2.90225993436874,2.76173637885796,2.47075851979803,2.5074433444899,2.83765294329325
"OSCAR",0.0112992341531672,0,0,0.0240835092860482,0.0224003340403239
"PAQR8",0.561361561679663,0.303126539838942,0.127744371382917,0.0956042941627455,0.22036483558019
"NUDT6",0.147609103256785,0.087081054323598,0.488975500278786,0.357501902155882,0.198982358932495
"TPT1-AS1",0.330288940878215,0.3914767597851,0.480771296923278,0.735400463432552,0.463070586999257
"TANC2",0.206083893997107,0.315288044904408,0.209645364714451,0.322186498986776,0.238672373135885
"PKHD1",0.0109274471403274,0,0,0,0.0036868158976237
"DNAJC24",0.19135360693445,0.413526146819717,0.386974770905542,0.339194790615582,0.177789310137431
"ZNF160",0.202800163311507,0.142071641589466,0.192344040948837,0.195758063728347,0.154796596209208
"ZNF415",0.263982066418112,0.187907106782261,0.0364542796963551,0.0714575544423314,0.134976961453756
"CAVIN3",1.71986547803613,2.75825623775783,4.05188601915954,4.25993235075872,3.22769102573395
"CEACAM3",0.13398524858956,0,0,0,0.00694601726531982
"DCDC1",0.00609661497742435,0,0,0.00163181382145074,0.0241477924982707
"HAS2",0.0682673600255227,0.0371280657617669,0.243867195629683,0.0876970401653106,0.187706700642904
"PDGFD",0.0271737411867046,0.0274765028765327,0.017221553208398,0.0566792681131728,0.0649940983454386
"PLAC1",0.0111118106098918,0.0436670184135437,0.0135183643122188,0.00847529569279278,0.020203847249349
"S1PR1",0.052592274098759,0.107885006226991,0.0399630007196645,0.0489816009924645,0.050202964146932
"HS6ST2",0.00307651618858436,0.0251599738472386,0.00597666834221512,0.00781723300665064,0.00448128763834635
"PYGO1",0.0107237383695613,0.101390043371602,0.0717272566967323,0.0949817321209147,0.0584901196161906
"LRRC8E",0.00390952781312762,0.0127098881884625,0.0455985430811272,0.0415910172963467,0.0411602926254272
"PKIA",0.0689150077292561,0.0852983311602944,0.181322535530466,0.0699141155214628,0.0372774209976196
"XKR6",0.0739386246465354,0.189977090609701,0.097710078466134,0.083021770375326,0.0684078995386759
"TSNARE1",0.0338151151926044,0.0995821184233615,0.0263908327602949,0.0401271716478581,0.0283272342681885
"FPR2",0.0030161376786807,0,0,0,0
"FPR1",0.0207203213049441,0,0,0,0.0036868158976237
"FEZ2",1.45973489180567,1.83407198912219,2.53445284601118,2.08186694777056,1.88594561545054
"SOX7",0.0275776786574185,0,0.00993556663638256,0.00497279679966798,0.0211999088923136
"C11orf24",0.398695404100507,0.916632104076837,1.87362145244098,1.26341784471929,0.607642725785573
"FAM86JP",0.0113636023038393,0.0526359049897445,0.082273106105992,0.0702592147000788,0.0254167048136393
"ALK",0,0,0,0.00135815276203698,0
"KYAT1",0.0474411988966098,0.0611274901189302,0.123916749485203,0.120120908553874,0.0624654102325439
"MTM1",0.315011008329869,0.1845451954164,0.0576810668726436,0.0557028789750136,0.0719667644500732
"SIGLEC17P",0.00274557837307564,0,0,0,0
"TRMT61B",0.211909061681362,0.241744593570107,0.513678559514343,0.332205362977145,0.308906016985575
"INSR",0.534169843112825,0.372173663816954,0.195496995918086,0.360309804620495,0.609930698394775
"MFN1",0.395207300920433,0.312081258547934,0.481468468806783,0.459536392402885,0.43929750696818
"NRTN",0.00992377680175158,0.058651012809653,0.0222941558869159,0.0194054737373984,0.00551666323343913
"KCNMB3",0.0320326950200635,0.0425976781468642,0.0406811956499444,0.0178988732867247,0.00853856086730957
"KCNG3",0,0,0,0,0.00602314694722493
"ATP6V0E2",0.237569675595951,0.415564044525749,0.687943818725523,0.519335410577258,0.332006943066915
"PRKCE",0.232012369084226,0.252961558730979,0.114303884545311,0.115139119336278,0.0974073603947957
"JAGN1",0.945312997958656,1.25576691486334,1.78280041295974,1.73444601432944,1.25038279565175
"TADA3",1.01177821188115,1.4745300412178,2.16719314035822,2.30792929068189,1.32269784832001
"SOCS5",0.144334341024424,0.262105413173374,0.592087578773498,0.618549634484927,0.432700427532196
"C1GALT1C1",1.0457349248189,0.576167658755654,0.796846480643163,0.554809611571587,0.725352799256643
"C9orf16",2.35341936073409,3.24977773741672,2.52819648766127,2.71624762652389,2.64091472212474
"MORN4",0.144635509250337,0.297201464050695,0.197429480122738,0.272550549141704,0.196319536050161
"ZNF672",0.810567015287827,0.306418589855495,0.254344839346213,0.25501629721249,0.296626543680827
"ZNF692",0.141864291922723,0.0946412509993503,0.235016685431121,0.193222595528413,0.171915841420492
"NAIF1",0.0912995896887912,0.0705852210521698,0.165107198425981,0.146126030991487,0.104571181774139
"RBKS",0.0745122598584375,0.00989232878935964,0.0904615247835878,0.0952466038897247,0.0854744078318278
"GRIK1",0.00528471014274073,0,0.00439044491189425,0.00670252639077355,0
"TMEM126A",1.07634430858333,1.45770061878782,2.23880376620371,2.00747853893285,1.24999755255381
"TMEM126B",1.40041694691982,1.64354964777043,1.98010490253323,1.70741547141293,1.50571372334162
"TRIM8",0.735989679100341,0.716785368950743,0.386325264954176,0.370096089002965,0.590128446737925
"NETO2",0.258641000249611,0.409853069405807,1.17405286069776,0.694092354756793,0.362895746866862
"CDC42BPG",0.00322429943615519,0,0.00429706182636198,0.0022351538442416,0
"SCAND1",2.1888213292566,2.42226265449273,2.85747337966669,2.81892093769257,2.18671282164256
"JUNB",3.75077581306114,1.51307888093748,1.39883554626684,1.74531818858183,2.95143516095479
"C10orf35",0.070954967075907,0.0371479893985548,0.017495310111124,0.0303063703555849,0.0244198360443115
"TMEM37",0.457663955294798,0.158411454997565,0,0.0349698133020672,0.135409199714661
"UGT2B7",0.00313303731589238,0,0,0,0
"LRG1",0.0347376028991586,0.0129626620756952,0,0.00188564502706634,0.0158379364013672
"SHCBP1",0.103222705658822,0.423042251875526,1.06484045317916,0.0934773808798772,0.103802328427633
"SOSTDC1",0.00227186011914198,0,0,0.00686466310758084,0
"NPTX1",0,0,0.0583314379707712,0.0228705977922022,0.0251522690455119
"FAM98B",0.358632006317875,0.381597909488176,0.540023647175461,0.389926358781138,0.231752733389537
"ZNF439",0.17216965594849,0.265754758527404,0.141411348249091,0.161881835926301,0.11818674548467
"ZNF440",0.0331959439120178,0.100222421319861,0.060243549894114,0.0700497700935241,0.0749709224700928
"GAA",0.632833429634682,0.289257745209493,0.202078395202512,0.228344027500954,0.620699752489726
"CANT1",0.363744571279727,0.46245199049774,0.938167306047971,0.592046353593008,0.52191747601827
"ZDHHC16",0.462141698941671,0.906892793743234,1.53236238780569,1.38866113312312,0.855715894381205
"CHST11",0.0950035202923423,0.164248064944619,0.049207525565976,0.0586252379771069,0.0787173210779826
"EXOSC1",1.04400266798175,1.15334608445042,1.74431433091398,1.56359802099919,1.01403168837229
"PGAM1",2.91775000449235,3.46504737985762,3.98255664637831,3.78568891541772,3.7462918732961
