"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell"
"ANKZF1",0.446906205692412,0.368240148866726,0.523669625446073,0.451704748353233
"HDAC11",0.0279245500275538,0.0403893924036172,0.0172074297866795,0.033956328709192
"TRAT1",1.00705775116702,0.676562457484549,1.33819066120099,0.754885986316473
"FBLN2",0.000372587187463098,0,0,0.00128524655738647
"GLB1L",0.051963061255577,0.0356740974299875,0.0684905316460186,0.0571622914055369
"STT3B",0.840007212701381,0.758462088021479,1.07940293430997,0.907829180251737
"CHCHD4",0.209941942761482,0.193050277853494,0.0983484624552066,0.110379792616175
"NFASC",0.000878600814675407,0.00121515540762458,0.00105098498589447,0.00121733886497355
"FCRL1",0.000511437272000611,0,0,0
"SGO2",0.0592379466226854,0.0754426465593264,0.0374345834884095,0.0669916063012308
"SERPINI1",0.00896174826208362,0.0121794992151978,0.0139947097431174,0.0284691452297285
"CLASP2",0.121717397278532,0.130546776644079,0.114907932167301,0.134442349252195
"SUCLG1",0.761840458131563,0.680470307325879,0.593280824822104,0.547466804800074
"NUAK2",0.0249588945576668,0.0282690221118106,0.0690684018378139,0.0662485515402218
"PRKCI",0.0959387240683404,0.0769717518821811,0.0452573043289472,0.0559959375662583
"MNDA",0,0.00475690865596998,0.000718372063077234,0.0152048583975636
"PYHIN1",0.186282090173358,0.406758812651211,0.289762171416751,0.898789997454043
"IFI16",1.4224589751385,1.47914869528235,1.50628222070897,1.53056862336982
"AIM2",0.32328565160882,0.203808223964658,0.0294842886835021,0.0386305837605736
"EFHB",0.00132041274625661,0.000964651746903408,0.00170991149945411,0.00100711995110616
"EIF5A2",0.137087278596876,0.177068735231223,0.0674002316566595,0.119936573546367
"RPL22L1",2.23110626894852,2.07533594339986,0.914406277772053,0.951697375037917
"PPM1L",0.00440499363016341,0.00947293919242308,0.0049885642720215,0.0113172075956912
"ICA1L",0.0770104817524195,0.0710865144468969,0.0890589003036008,0.0945968431295808
"SNHG16",1.46572782419298,1.36089625429098,0.775640857411377,0.704241752169341
"CTLA4",0.745163954316289,0.492318027834462,0.12171699080694,0.0489451136922235
"ICOS",1.55875034425917,0.759722175690977,0.609555697261655,0.284459691140523
"RYBP",0.374808350209569,0.520283020645079,0.188021337990071,0.199802196540192
"PPP4R2",0.534411443225453,0.619649678256707,0.281181891568915,0.315348576980495
"CD200R1",0.118633580185705,0.109609942363023,0.167274982644563,0.118963087911413
"GTPBP8",0.35014643784522,0.341176943937878,0.232662257086199,0.256034872376222
"NEPRO",0.331166952770092,0.316529045297786,0.221959335812958,0.261409015043768
"SPICE1",0.0427182239082989,0.0473049675110617,0.0529077827135178,0.0492354924098915
"FAM86KP",0.000542893261523857,0.00121241354933396,0,0
"CCDC191",0.0105574730099934,0.014644969719173,0.0182863867450079,0.0344712956345869
"CADPS",0.000320562867305738,0.00084658063605054,0.000549069056150402,0.00318799677947497
"CDS1",0.00398700628432531,0.00115374410165825,0.00320264157717088,0.00116635133583794
"WDFY3",0,0,0.000674761528435367,0
"COX18",0.10931638768454,0.14771836110154,0.15151268988083,0.129190069339165
"PTPN13",0.0237982655965104,0.00645035686050181,0.00956876764059311,0.00530650998946136
"SYNPR",0.00046937145293911,0,0,0
"C3orf49",0.00406323685534719,0.00170059308538005,0.00663926460300045,0.00609542960290374
"C4orf36",0.0304320564184488,0.0204259386137602,0.0604501344388452,0.0409983899494126
"THOC7",1.24299509296355,1.24574134190044,0.726243590068784,0.788208244319361
"ATXN7",0.28361211421041,0.328708664168583,0.41854435937518,0.453874833531942
"PSMD6",0.696125343536435,0.709263987150232,0.429858064023428,0.427323285247042
"PRICKLE2",0,0.0010081421164081,0,0
"ADAMTS9",0,0,0.00055138868213801,0
"PPM1K",1.01412660496412,1.06235765000489,0.980192931310958,1.06247909859238
"ERICH6",0.000405479845241949,0.00295390309755475,0,0
"GMPS",0.337721219677746,0.296495059687116,0.301776902340391,0.294161893566768
"TIPARP",0.0747528700698043,0.112321886352188,0.0842955178526057,0.0991317586800487
"CCNL1",1.10416652482721,1.14247883722962,0.959057516689542,0.942549107410654
"PTX3",0.00031131988001585,0.00153559506586633,0.00119711775262593,0
"HESX1",0.000772686485383727,0.00123105420462874,0.00109436024226353,0
"SLMAP",0.242038148050793,0.277542119122587,0.178316850919981,0.215590968756514
"RPL9",6.21795315541199,5.91459207640119,6.30984916492884,5.90100231431012
"SMIM14",0.0330167862995526,0.0618881994488087,0.135161451268922,0.206257225220874
"RPP14",0.106340735169159,0.115113323523015,0.0731908940224871,0.0875207966363535
"ABHD6",0.046493688782898,0.0625539671299119,0.0277097090604654,0.0533914483198914
"DNASE1L3",0.00084689328193812,0,0.00161714118268447,0
"C3orf67",0.00139376109583182,0.00199218195326451,0,0.00130030142983301
"RBM47",0.0115658501412265,0.00375495221185488,0.00451914423180083,0.00504585739855277
"APBB2",0.00123261881884788,0.00193334848681714,0,0
"IL17RE",0.00378216501916968,0.00529414694302986,0.00251191864672728,0.00479472589292523
