"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"SLC35A4",0.242142786538548,0.237418447734206,0.138304611302394,0.198781531197684,0.0442635493400769,0.0949513478712602
"CRYBG2",0.00494813078825694,0.00633326739424922,0.0237061664706371,0.0521232699755556,0.0452151023424589,0
"IP6K1",0.169651044336471,0.171797549045944,0.19529082429689,0.221950810592367,0,0
"SSNA1",0.989051259418559,1.01232322868036,0.612346903011236,0.840988183465804,0.533076414695153,0.587891687046398
"CSTF3",0.163213420878614,0.142962788664821,0.174571545714555,0.153385599799778,0.102339527545831,0.0834790901704268
"YES1",0.0538674531385905,0.118427752424132,0.0267775599598409,0.0308626012032076,0,0
"CHMP6",0.203036150552294,0.267078468033886,0.120362405603736,0.166940441486998,0.188493872300172,0.0762330998073925
"DLEU1",0.0599065194571071,0.113092752839774,0.0506693737983281,0.0601978704796074,0.100920710808192,0.0999638167294589
"UFSP1",0.0199856377144456,0.00940021690057248,0.0133773187224084,0,0,0
"TMEM39A",0.0628494794339144,0.065375840753541,0.0489888482776214,0.0693968491524643,0,0
"TCP11L1",0.0225083040245829,0.0358399571460761,0.0220196969645394,0.0720127153100434,0.0462659108333099,0
"GPX2",0.00359968361875559,0,0.0015021728951687,0,0,0
"CCDC57",0.252928329363889,0.286156181362082,0.303055277851022,0.291954817979232,0.0992048673140697,0.179015961560336
"HSF5",0.00971657264504759,0.00406898438098223,0.00422747799607574,0,0,0
"SPHK1",0.0457979693239004,0.143226927000265,0.0077978002322581,0,0.0427898779893533,0
"BNIP3",1.4785486685547,1.10436658930958,1.03935752403013,0.564307646721787,0.630273360472459,0.279599411921068
"ENTHD1",0.00245621598716922,0.00693243658760308,0,0,0,0
"MYPOP",0.0867133744010268,0.0821996605870035,0.0717453394624899,0.0379539403856171,0,0
"ATAD5",0.0628020740481534,0.0384166184352625,0.0284989435798466,0.0538008085689189,0.0441088920984513,0
"SMIM19",0.432659039270128,0.346794860831649,0.330298890780177,0.369579614911761,0.147596521255298,0.359543296423825
"ZNF404",0.0117951146019999,0,0.00450217338278064,0,0,0
"RTTN",0.0282667216941458,0.018663811248304,0.0374530721249494,0.0387327798405049,0.0449872078039707,0
"OR4K17",0,0.00382139782644368,0,0,0,0
"C10orf111",0.00253740080748265,0.00385502483355628,0.00155332873339773,0,0,0
"ACBD7",0.00113146487454868,0.00306694003104139,0,0,0,0
"ANAPC2",0.0787230710960361,0.0699043422457227,0.0810820629599879,0.0632437474979377,0,0
"ZBTB8OS",0.626975751849332,0.666493484464291,0.429967280769433,0.601133499086273,0.15384726646619,0.189003700559789
"SLC35G1",0.0295844301491868,0.0355384014346802,0.0254837762057702,0.0208822303677198,0,0
"IDSP1",0.00123342677121359,0,0,0,0,0
"ZNF135",0.00309734627109172,0,0.00595748049525175,0.00436488293712924,0,0
"FOXR1",0.00151592910791045,0,0,0,0,0
"AL138899.1",0,0,0.00145697572561931,0,0,0
"COX8A",2.02351458396346,2.26057102626428,1.48220179014413,1.82910581908611,1.06885986756056,1.3894413059408
"RPL37AP8",0.135584897550049,0.154934097949724,0.13870422989064,0.12666339518861,0.100666562716166,0.256252803585746
"TAC4",0.0126979069371772,0.0165089119133709,0.0130502331505109,0.00894077046317343,0,0
"ZSCAN2",0.0320682054431046,0.0923162118704823,0.0252030857062519,0.0419322745400186,0,0
"B3GNT4",0.0356991039928456,0.00646054014867666,0.0125730209874536,0.0129579467062624,0,0
"CDC26",0.0545567697556343,0.0608257755685186,0.0587930845168506,0.0658404314740104,0,0.0861921364610845
"HSD11B2",0.00312808393524989,0.00239793442501802,0,0,0,0
"CRLF3",0.482718349887602,0.3840898770907,0.679186171010685,0.522236456486009,0.680009389534975,0.697077030485327
"RNPEP",0.159294916240034,0.182093606471503,0.161201993289858,0.161314919276267,0.051409091704931,0.341610567136244
"EID2",0.081908010987697,0.064721242185566,0.0866222704835418,0.101787836951499,0.0530773065029046,0
"DMRTA1",0,0.0068376909393245,0,0,0,0
"EID2B",0.0447769840096874,0.0448918373320976,0.0616605429719072,0.0755238085800076,0,0
"RIMS2",0,0.0105921973731413,0.00130093736779547,0.00497795602549677,0,0
"KCMF1",0.308224757480583,0.216193607363102,0.156112592411506,0.168339514584275,0.245653008803343,0.167408845641396
"DNAJC30",0.19670433328779,0.170099049198384,0.13229594222201,0.108979292685941,0,0
"SPRYD4",0.0755778576404417,0.0926943867598389,0.0392265568066869,0.0511354256860958,0,0
"SYNE3",0.236142366229414,0.120852550297623,0.196618767295942,0.155264486289172,0,0.084947255524722
"CLK2",0.0625585096570841,0.0648233414208466,0.057939673822223,0.0802410697344667,0,0
"LPCAT4",0.134325384950466,0.206170938452896,0.136768124723625,0.260334047471514,0.156804573841584,0.172609312967821
"SLCO3A1",0.139268078897588,0.126546192630149,0.121087063293727,0.161633453309906,0.0909821895452646,0.262726296078075
"ZNF575",0.0204253126059621,0.0151749958157155,0.0197502302288956,0.0148676045933125,0,0
"WDR25",0.0564899604035035,0.0609378443368652,0.0348693743499972,0.0382596854097354,0,0
"SGF29",0.186789018514875,0.258436404032559,0.27678952345977,0.204831482608866,0.247101355821658,0.415022730827332
"PLA2G16",0.0358763901195289,0.348183560704314,0.053928107353349,0.340437480677729,0,0.0950233286077326
"DIRAS1",0,0,0.00145499971412588,0,0,0
"PHLDB3",0.112835521644528,0.0738921877392893,0.110800069150642,0.108825919642952,0.0495757964941171,0.0722828019749035
"PRR15",0,0,0.00135573307708348,0,0,0
"GNG7",0.068648812290569,0.0137640292867298,0.0480775264812667,0.0221424028740166,0,0.089662562717091
"USF3",0.105162705236977,0.137527689641836,0.104504487447946,0.109920987431307,0.129836617371975,0
"CNTD1",0.0119162302853634,0.0204357878093945,0.00738767654324296,0.0093657724605584,0,0
"DMBT1P1",0,0,0.00149055059683973,0,0,0
"AC008969.1",0.0146972333902734,0.014688953549214,0.0177598582678893,0.0304502952172889,0.0545052259396284,0.0908820358189669
"KBTBD11",0.0518299288209267,0.0248821647287568,0.0381556818534909,0.00870860348577085,0,0
"B3GNT5",0.0100024725181082,0.0186143336311447,0.00472362441830684,0,0,0
"LMNB2",0.180171064152257,0.188795275385987,0.0703021173303931,0.0825647682877061,0,0
"RMDN1",0.114037725368785,0.108367100694126,0.0990650955955698,0.108343169703987,0,0.0731388222087513
"MEX3C",0.106711761637311,0.19252233346474,0.0702807356099613,0.203013353170075,0.160756704134819,0.0834790901704268
"RNF152",0,0.00467854181242552,0,0,0,0
"NANOGP1",0.00120374189169826,0,0.00159736497242682,0,0,0
"MYO1D",0.0250614025519283,0.0209595926594145,0.01591630271435,0.0284644541533097,0,0
"LRRC37A",0.00507389482231583,0.00358272597561845,0.00187527314719765,0.00453618979602127,0,0
"FOXC2",0.00155678242265963,0,0,0,0,0
"BDNF",0,0,0.00151451002669429,0,0,0
"SCAND2P",0.205210902760589,0.190608166982485,0.189710207095334,0.186597246264819,0.225499192873637,0.174282399090854
"CCDC121",0,0.0040168449778818,0,0,0,0
"ACSF3",0.149360339117375,0.141736643142782,0.17403819426848,0.0983972034098939,0.138635626206031,0.254360784183849
"OR10AB1P",0.00136802881108698,0,0,0,0,0
"ZNF843",0,0,0.00452509579216953,0,0,0
"TTTY14",0.0231793329722412,0.0165379042272025,0.0235520985256427,0.00326067912652626,0.0483790666629107,0
"C8orf59",1.48323382890172,1.28496757869946,1.09653896402351,0.985744933311984,0.643094395979857,1.12196780334819
"PFN4",0,0,0.00184219328238471,0,0,0.099909782409668
"CDK5R1",0.0135868158061647,0.0118704082886463,0.0221049010251865,0.00459533093138511,0.0552067817785801,0
"C15orf56",0,0,0,0.0049339913433383,0,0
"RUFY1",0.147470218351377,0.181628065898006,0.142499077357071,0.187045111271165,0.159844215099628,0.335117643529719
"BASP1",0.0176534773017294,0.0251129129391352,0.0116446061529414,0.0146915092231324,0,0
"LRRC37A3",0.0130660337212089,0.0186113204915081,0.0174821126656454,0.0131787735482921,0,0
"VSIG10",0.0283952414344968,0.0188422853529261,0.0346281465091798,0.0275828269697865,0.0545402551308656,0
"METRNL",0.0273697734786168,0.172542008882434,0.00954220650942916,0.06247081371568,0,0
"FAM91A1",0.125726710857274,0.162042346087742,0.0797117984976238,0.109350539438473,0.198883857482519,0
"AL358781.1",0.002861471714666,0.00360687001819385,0.001616620362518,0.00425910979324246,0,0
"WSB2",0.132967258865088,0.156775262250808,0.0489753160954156,0.0968923186663515,0,0
"GRIN1",0.00136135929720279,0,0.0014749705712247,0,0,0
"TYMS",0.0255826234722023,0.0528247704695426,0.0141745854860711,0.0200293318825479,0.0507069917825552,0
"PXMP2",0.0886668881082898,0.108182469448905,0.0694741215069948,0.0775640152996371,0,0
"TCEANC",0.0433077187742478,0.0211568529188441,0.0286488181254903,0.0386991044749384,0,0.0797000852498141
"PNMA1",0.116356239397143,0.0503298434739978,0.133406024830606,0.116106682534544,0,0.171102361245589
"C8orf4",0,0,0.00139208034334533,0.00427535868579557,0,0
"MAMSTR",0.035401416483716,0.0431697844946807,0.0467078448081365,0.0332291300992788,0,0
"TYMSOS",0.0020298055519712,0.00394892769392528,0.00335198490293247,0.00326067912652626,0,0
"ANKLE2",0.347929765140242,0.371120456466101,0.180169647015668,0.227326081850514,0.228508212627509,0.0969351746819236
"C8G",0.00267377699858483,0.00420910920287561,0,0.00432778915263111,0,0
"FUT2",0.0070399825554826,0.0115902631290489,0.0271659625226225,0.0230128030599274,0,0
"EFCAB5",0.00388140577194831,0,0.00455537326155271,0.0130866373547856,0,0
