"","acinar.cell","not.available","pancreatic.A.cell","pancreatic.D.cell","pancreatic.ductal.cell","type.B.pancreatic.cell"
"C1orf162",0,0,0.0903080552816391,0.0565138490576493,0,0.0168521963519815
"CD53",0.0073075626256331,0,0.00608955323696136,0,0,0
"PROK1",0,0,0.00109256617724895,0,0,0
"CELSR2",0.0205619849686353,0.00476698338985443,0.213260647641229,0.0608813888148258,0.273256199634992,0.0607012024632207
"ITGA10",0.00612692830135237,0.00322191417217255,0.0232332750622715,0.00886592661079607,0.00518008424685552,0.330016970450495
"GPR161",0.173485688443454,0.00318843930959702,0.0485036343203059,0.0324487215594242,0.0550728110166696,0.0369263685043947
"ALDH9A1",0.910154324657512,0.860342330634594,0.883018926318203,0.823215810876144,0.943788663011331,0.769103610221251
"ATP1B1",0.855491273245721,1.63542405962944,2.52958656674517,2.12912234820818,3.27214671900639,2.15072175106149
"TIPRL",0.741123097544571,0.485098441243172,0.438630984231297,0.234048223809192,0.739398443240386,0.557114278276761
"NME7",0.230915163766663,0.70907660484314,0.52145256098759,0.813432106846257,0.552931161797964,0.763852352805344
"POGK",0.461609781069576,0.809908140301704,0.660048095376364,0.322595257508127,1.02584957159483,0.539699265986313
"MPC2",1.10797419019465,2.01233509540558,2.08616143737787,1.3335373840834,2.03455076882472,1.4528546333313
"CREG1",2.13235664114637,1.21155793130398,0.643951886998756,0.408608260907625,0.804997860239102,0.60708760994452
"DCAF6",0.443323465696764,0.469218355566263,0.500878017200323,0.567393823673851,1.03824732177533,0.532644421414093
"RXRG",0.00475186728081613,0.283888666629791,0.00117732504648822,0.747650849191766,0,0.676114775332404
"TBX19",0.00316449606193686,0.0327418947219849,0.0527706648489194,0,0.014653807419997,0.0597242543726792
"UCK2",0.286217016431521,0.22016669511795,0.236416716926864,0.0736348628997803,0.249284727069048,0.25406506381653
"TMCO1",1.15706072958573,1.70848645806313,1.24591238191351,1.35721724754886,1.4286873450646,1.63429993207072
"POU2F1",0.191532401965474,0.258570434451103,0.411628521247102,0.28217828195346,0.270925221534876,0.380054248887816
"MAEL",0,0.0192246198654175,0.00251854976106967,0,0.00296223438703097,0.0041221954204418
"ILDR2",0.00998208067327176,0.0179467052221298,0.0681464837065765,0.162905027991847,0,0.0245664715766907
"DPT",0,0,0.000700626788394792,0,0.0157700648674598,0
"MGST3",0.963098188335041,1.3910990190506,1.05677516345999,1.23626457233178,1.79248103820361,1.50367583481618
"ADCY10",0.0165552373202342,0,0.0108777701056429,0,0.0118806417171772,0.0218919265417405
"RFWD2",0.66812235988536,0.33184070289135,0.318097058217973,0.267171564855074,0.0764571607112885,0.223548395030292
"NECTIN4",0.593457893661733,0.0497131833434105,0.00534522905945778,0,0.731589872561968,0
"UFC1",1.44638774333135,1.19871227860451,1.32372353259208,1.04692136613946,1.43653199833173,1.20085150040226
"PPOX",0.0690828114748001,0.294352452754974,0.0913303207739123,0.108844619832541,0.296504644247202,0.161851839334876
"FCGR2A",0.024824248169953,0,0.0358819993478911,0,0,0.0311481305110602
"NUF2",0,0,0.00239550162638937,0.32616138458252,0.0403902457310603,0
"RGS5",0.0283311403022622,0.507356469929218,0.115688957207437,0.156156900681947,0,0.0777867988303856
"SDHC",1.31356068995764,0.733144713044167,0.6577780972501,0.333017022201889,0.874139251617285,0.621387542029958
"PFDN2",0.28866676775352,0.995963307023048,1.12331196858681,0.674833504777206,0.71222811295436,0.697627791284043
"NR1I3",0.0309524522075113,0.0383888164162636,0.115206694463268,0.256878486589382,0.113744366168976,0.0770202319563171
"USP21",0.157832754389295,0.177395766973495,0.194087957231594,0.227733379131869,0.274696350785402,0.0980972605354992
"PRCC",0.192498815087777,0.218771289885044,0.443855767470918,0.336001345985814,0.382425322899452,0.425779480993012
"FCRL5",0.0114922915708344,0.0289005696773529,0.0628466274855392,0.105694324562424,0.0107228036110218,0.0415635305790254
"RRNAD1",0.0562224480903374,0.263858419060707,0.143357398587146,0.127076418776261,0.081557142505279,0.108699018020689
"MRPL24",0.589284101184809,0.327096244692802,0.362212252803147,0.310264562305651,0.547851538658142,0.250188276355649
"PIGM",1.03411329917188,0.388775858283043,0.247733509034983,0.537612202920412,0.770671428166903,0.342560184774575
"CASQ1",0,0,0.00260807307703154,0,0,0
"ISG20L2",0.530185490003172,0.472066246569157,0.525022538678188,0.494256000769766,0.367399743199348,0.301828641950348
"CRABP2",0.00710104096610591,0.156641449332237,0.0928081409739596,0,0.0493897891961611,0.0700978835423787
"HDGF",0.586999662501632,0.413066512942314,0.411581562499383,0,0.832668946568783,0.356260624196794
"ABL2",0.570947365659588,0.21799600481987,0.559792429774201,0.320171727161658,0.329897913107505,0.442018551407037
"XPR1",1.48636416584816,0.98897027015686,1.17473189130292,1.00572131182018,0.658265188107124,1.46667446968732
"RGS16",0.0972434227477829,0.352745773792267,0.00642445763306958,0.138991456282766,0,1.06837204650596
"TOR1AIP1",1.05893963462902,1.09136714249849,1.53532318431618,0.603058921663385,0.916581007379752,1.09755045929809
"FAM163A",0,0,0.0201469154230186,0,0,0
"HMCN1",0,0,0.00101055164954492,0,0,0
"RGL1",0,0.699123656749725,0.165950098607157,0.907417427552374,0.428361892929444,0.447396606942754
"LYPLAL1",0.635826702950136,0.461804531812668,0.289809870400599,0.693215677612706,0.65800740810541,0.246754681254611
"PRUNE1",0.429755640620331,0.563471903800964,0.615127045927303,0.141283436825401,0.33302236703726,0.399841378500432
"RORC",0.209007391389811,0.259394386708736,0.316671636886895,0.125334877716868,0.0956541820214345,0.526817630102605
"TUFT1",0.993773182748624,0.745193282663822,0.560293840710074,0.0531816662926423,0.585875535011292,0.582630796013055
"SF3B4",0.748570680337132,0.623405039906502,0.783835135599864,0.441793667642694,0.987869320924465,0.592717298754939
"ECM1",0.020958663157697,0.00352031588554382,0.0181658432951995,0.0838136923940558,0,0
"ZNF687",0.125804007896837,0.255903496742249,0.544750952161849,0.194808246273743,0.135778958063859,0.267412838744528
"TARS2",0.0744839347196075,0.265707595348358,0.183298308269254,0.0937177162421377,0.232001352997927,0.230868695326793
"CGN",0.373401189187788,0.250611637830734,0.190908891015819,0.121426011386671,0.446848154984988,0.0175720203069993
"SNX27",0.490121364593506,0.333007513284683,0.425788047590426,0.624838207897387,0.581389508109826,0.420251944550761
"SETDB1",0.320672653896629,0.369796750247478,0.407897949351796,0,0.384088939886827,0.18146063277015
"ADAMTSL4",0.0209911438935208,0,0.0162502492644957,0,0.0116840951717817,0
"MCL1",2.94018158766459,0.977422855496407,0.86673788160884,1.10340683083785,1.57986591320771,0.4604104394898
"CTSK",0.0171557940402121,0,0.0770543409245355,0,0,0.00413253204322156
"RFX5",0.252187899261151,0.217579317092896,0.173083777206817,0,0.157507249483695,0.040345788737874
"PI4KB",0.334275332964816,0.64632842361927,1.21202511366989,0.678847877602828,0.742870341585233,0.685542944956709
"PIP5K1A",0.253787964020135,0.272473195493221,0.515259017369577,0.459535843447635,0.490751043879069,0.20065109965242
"ANP32E",0.500146838853944,0.737230559587479,0.725038465245494,1.09269996065842,0.721570017016851,0.712116123717508
"MINDY1",0.280919204202463,0.244046863019466,0.355672699931477,0.0735783357369272,0.228299515063946,0.161383192848276
"ANXA9",0.0252786424924742,0.102883448600769,0.0163555673456618,0.0254681863282856,0.710538969819362,0.0045751956877885
"SELENBP1",0.0588266484017642,0.206640174984932,0.399653666386647,0.257778804553183,0.6125931593088,0.121343609727459
"CERS2",1.06708316251917,0.702619876265526,0.759440343228302,0.6284162872716,1.16301906085931,0.821883211901158
"ENSA",1.16869460875696,1.16891088008881,1.23082826326468,0.31007336864346,1.15136208878114,0.897203848685747
"AC116050.1",0.109585708323515,0.167102091312408,0.114256549709743,0.0504760553962306,0.230025410422912,0.138429312794297
"SEMA6C",0,0,0.0101359682157636,0,0,0
"MRPL9",0.612623367388293,0.800510174632072,0.599533309295241,0.36505521990751,0.682994454640609,0.667636962032612
"ARNT",0.802447325075572,0.56449647963047,0.353253350992288,0.589775898738911,0.462037719671543,0.395878870431104
"POGZ",0.31698344057461,0.494859920442104,0.708899484814278,0.993792402901148,1.07000182775351,0.5216934364519
"C1orf56",0.0837020858559968,0.23155366808176,0.201474772300571,0.249467845025815,0.195445585480103,0.107616544505696
"OAZ3",0.0344520836787404,0.0153615921735764,0.0855070469634873,0.0855134631458082,0.140857848983545,0.091740388929108
"GOLPH3L",0.675775449371563,0.584936713576317,0.262738449166396,0.468135946675351,0.558454452340419,0.339920706587073
