"","Keratinocytes","Clara.cells","Epithelial","Airway.Multiciliated.Cells","Brush.cells","Undefined"
"Atp1b3",0.617242369,0.465690141,0.362749692,0.369071926,0.34281106,1.105555556
"Rnf7",1.176963214,1.074016901,0.842848335,1.143735499,1.273640553,1.550952381
"Rasa2",0.040962692,0.12456338,0.056387176,0.154408353,0.21718894,0.097301587
"Zbtb38",0.066937125,0.053464789,0.050665845,0.108932715,0.128202765,0.066587302
"Pxylp1",0.100720063,0.081650704,0.075351418,0.199930394,0.075714286,0.305952381
"Gm19325",0.052820245,0.012473239,0.061911221,0.052482599,0.037834101,0.055952381
"Slc25a36",0.17833029,0.167047887,0.145437731,0.183805104,0.215668203,0.151666667
"Nmnat3",0.105460475,0.030884507,0.022860666,0.012761021,0.048341014,0.068095238
"Rbp1",0.661724498,0.103329577,0.039790382,0.03262181,0.325714286,0.723650794
"Rbp2",0.00128359,0.030433803,0,0.09187935,0.023870968,0
"Copb2",0.34738586,0.439369014,0.436991369,0.4425058,0.482949309,0.481746032
"Mrps22",0.189024263,0.106653521,0.10134402,0.136774942,0.166036866,0.315873016
"Faim",0.326887555,0.273425352,0.160579531,0.228538283,0.481059908,0.397857143
"Pik3cb",0.019890425,0.033566197,0.022145499,0.030232019,0.045576037,0.026507937
"Cep70",0.075815288,0.101098592,0.102182491,0.106519722,0.085529954,0.23515873
"Esyt3",0.003115053,0.036991549,0.008409371,0.007099768,0.028341014,0
"Mras",0.036016175,0.016095775,0.014204686,0.037819026,0.01124424,0.036507937
"Armc8",0.083386381,0.091757746,0.057509248,0.136519722,0.106129032,0.091587302
"Dbr1",0.081813201,0.057949296,0.04838471,0.051740139,0.060414747,0.139920635
"Dzip1l",0.001894078,0.00136338,0.001800247,0.397911833,0,0
"Il20rb",0.035742238,0.010608451,0.011097411,0.004153132,0.004608295,0.057539683
"Nck1",0.24457605,0.214676056,0.152096178,0.15199536,0.323732719,0.240396825
"Slc35g2",0.049720845,0.097166197,0.056831073,0.098306265,0.418940092,0.065
"Stag1",0.088413775,0.069261972,0.041023428,0.076055684,0.101290323,0.22
"Pccb",0.199235586,0.193994366,0.281270037,0.226821346,0.201612903,0.148888889
"Msl2",0.079360814,0.079622535,0.064808878,0.080208817,0.071382488,0.067857143
"Ppp2r3a",0.051494913,0.039521127,0.024266338,0.023990719,0.01235023,0.125238095
"Ephb1",0.011565354,0.000552113,0,0,0.011658986,0.008888889
"Cep63",0.103788155,0.090152113,0.080049322,0.308329466,0.195299539,0.116666667
"Anapc13",1.277500652,1.665571831,1.155178792,1.187169374,1.917235023,1.658571429
"Amotl2",0.168899035,0.096980282,0.211183724,0.34136891,0.040921659,0.11968254
"Ryk",0.162152361,0.208602817,0.131183724,0.549303944,0.26921659,0.263412698
"Slco2a1",0.263983825,0.102416901,0.076054254,0.020069606,0.013963134,0.20547619
"Rab6b",0.008379859,0.020016901,0.005462392,0.015475638,0.085115207,0.006587302
"Srprb",0.317383251,0.227064789,0.287792848,0.198839907,0.294193548,0.445396825
"Topbp1",0.036710149,0.038698592,0.022786683,0.056473318,0.041428571,0.238888889
"Cdv3",0.266957996,0.189498592,0.144981504,0.250139211,0.216866359,0.384047619
"Tmem108",0.041601878,0.00616338,0.002083847,0.002041763,0.153686636,0.062063492
"Nphp3",0.010884425,0.012214085,0.01648582,0.210742459,0.010875576,0
"Uba5",0.281536655,0.202039437,0.287040691,0.224849188,0.216359447,0.359047619
"Acad11",0.088072006,0.053216901,0.067644883,0.172830626,0.146728111,0.075714286
"Ackr4",0.000623532,0.002343662,0,0,0.1640553,0
"Dnajc13",0.043433342,0.056349296,0.062009864,0.109651972,0.11797235,0.056507937
"Acpp",0.116459692,0.120625352,0.107657213,0.069280742,0.123917051,0.114761905
"Mrpl3",0.199227759,0.122794366,0.128853268,0.153689095,0.258801843,0.363730159
"Nudt16",0.13368119,0.093746479,0.093797781,0.270649652,0.115806452,0.18452381
"Nek11",0.00297939,0.005769014,0.012786683,0.206426914,0,0.00952381
"Aste1",0.034482129,0.02924507,0.045980271,0.070232019,0.055714286,0.081349206
"Atp2c1",0.138836421,0.137464789,0.096325524,0.144477958,0.251336406,0.195396825
"Pik3r4",0.04171928,0.067211268,0.057385943,0.149651972,0.029354839,0.046666667
"Wdr82",0.107414558,0.111126761,0.07378545,0.135243619,0.153271889,0.164047619
"Ppm1m",0.151171406,0.110929577,0.089864365,0.082668213,0.143870968,0.186111111
"Twf2",0.321693191,0.270507042,0.32135635,0.310904872,0.435714286,0.36515873
"Alas1",1.970250457,2.064574648,2.927065351,2.365962877,0.859723502,1.558968254
"Poc1a",0.033587268,0.033752113,0.043674476,0.099280742,0.018479263,0.369126984
"Dusp7",0.17191234,0.030856338,0.071738594,0.038468677,0.015483871,0.298571429
"Rpl29",3.600991391,2.324259155,2.090431566,2.010092807,3.247235023,3.579285714
"Acy1",0.050866162,0.025932394,0.038224414,0.020092807,0.097419355,0.071666667
"Abhd14a",0.42377772,0.145019718,0.162601726,0.694686775,0.34921659,0.386904762
"Abhd14b",0.808387686,0.604112676,0.660110974,0.786055684,0.598663594,0.411904762
"Pcbp4",0.143480303,0.088478873,0.075166461,0.08575406,0.304654378,0.26452381
"Parp3",0.061278372,0.052349296,0.056572133,0.022018561,0.016635945,0.101666667
"Rrp9",0.219624315,0.115684507,0.101368681,0.15199536,0.168894009,0.216507937
"Tex264",0.862705453,0.628850704,0.673119605,0.937215777,0.885483871,0.736428571
"Rad54l2",0.0270467,0.032569014,0.011035758,0.035452436,0.055345622,0.024603175
"Manf",1.352212366,1.129504225,1.310702836,1.877192575,1.837050691,1.989920635
"Mapkapk3",0.429822593,0.210292958,0.246646116,0.145638051,0.11156682,0.386984127
"Cish",0.124714323,0.110715493,0.196276202,0.058979118,0.216774194,0.27015873
